EXT_CMPD_NUMBER,SMILES,Percentage_inhibition_3D7,Percentage_inhibition_DD2,Percentage_inhibition_3D7_PFLDH,XC50_MOD_3D7,XC50_3D7 (microM),Percentage_inhibition_HEPG2
TCMDC-131257,O=C(CCCCCN(Cc1ccccc1)Cc1ccccc1)c1c[nH]c2ccc(cc12)C#N,93,97,2,,0.785459942,10
TCMDC-125519,Nn1c(=O)oc2ccc(Cl)cc2c1=O,97,96,-5,,0.18688039,4
TCMDC-131258,c1ccc2c(c1)[nH]c1c2cnc2ccccc12,95,36,-6,,0.86650145,-1
TCMDC-125518,OC(C1CN(Cc2ccccc2)CCC1(O)c1ccccc1)c1ccccc1,91,82,-2,,0.845571203,4
TCMDC-131259,Br.CCCN(CCCCCCN(CCC)CCc1ccc(O)c(O)c1)CCc1ccc(O)cc1,90,5,-1,,1.012703809,0
TCMDC-131260,I.Cn1nc2ccc3ccccc3c2nc1=N,91,85,-4,,0.772754294,100
TCMDC-131261,Cl.COc1ccc(CCNCCCCCCNCCc2ccc(OC)c(OC)c2Cl)c(Cl)c1OC,96,-2,1,,0.903831556,19
TCMDC-131262,Cl.COc1ccc(CCNCCCCCCNCCc2cccc(c2)N(=O)=O)cc1OC,93,-3,-6,,0.997371983,13
TCMDC-131263,Br.Oc1ccc(CCNCCCCCCNCCc2ccc(Br)cc2)cc1O,99,5,-2,,1.024707585,2
TCMDC-131264,Br.Oc1ccc(CCNCCCCCCNCCCc2ccc(Cl)cc2)cc1O,87,3,-2,,ND,13
TCMDC-131265,Br.Oc1ccc(CCNCCCCNCCc2ccc(Cl)cc2)cc1O,94,-1,-1,,0.843375244,33
TCMDC-131266,Br.Oc1ccc(CCNCCCCCCNCCc2ccc(Cl)cc2)c(Cl)c1O,100,30,-7,,0.775272748,23
TCMDC-131267,Cl.COc1ccc(CCNCCCCCCNCCc2ccc(cc2)-c2ccccc2)cc1OC,99,35,1,,0.957581077,100
TCMDC-131268,Br.Oc1ccc(CCNCCCCCCNCCc2ccc(cc2)-c2ccccc2)cc1O,101,8,1,,0.60262499,72
TCMDC-131269,Cl.COc1ccc(CCNCCCCCNCCc2ccc(Cl)cc2)cc1OC,101,-2,-11,,0.740650737,32
TCMDC-131270,Cl.COc1ccc(CCNCCCCCCNCCc2ccc(Cl)c3ccccc23)cc1OC,100,28,6,,0.5797336,100
TCMDC-131271,Br.Oc1ccc(CCNCCCCCCNCCc2ccc(Cl)c3ccccc23)cc1O,99,1,-4,,0.71628279,22
TCMDC-131272,Cl.COc1ccc(CCNCCCCCCNCCc2ccc(Cl)cc2)c(Cl)c1OC,101,4,5,,0.825106758,88
TCMDC-131273,Cl.COc1ccc(CCNCCCCCCNCCc2ccccc2Cl)cc1OC,96,3,-1,,0.657341436,13
TCMDC-131274,Br.CCCN(CCCCCCNCCc1ccc(Cl)cc1)CCc1ccc(O)c(O)c1,91,11,-3,,0.942956368,26
TCMDC-131275,Cl.COc1ccc(CCNCCCCCCNCCc2ccc(Cl)c(Cl)c2)cc1OC,101,10,-1,,0.926346306,59
TCMDC-131276,Br.Oc1ccc(CCNCCCCCCNCCc2ccc(Cl)c(Cl)c2)cc1O,101,2,-1,,0.725976386,21
TCMDC-131277,Br.CC(C)(Cc1ccc(Cl)cc1)NCCCCCCNCCc1ccc(O)c(O)c1,90,-7,-8,,1.200605095,45
TCMDC-131278,Cl.COc1ccc(CCNCCCCCNCCCc2ccc(Cl)cc2)cc1OC,101,2,2,,0.808221418,24
TCMDC-131279,Br.Oc1ccc(CCNCCCCCNCCCc2ccc(Cl)cc2)cc1O,91,ND,-3,,ND,22
TCMDC-131280,Cl.COc1ccc(CCNCCCCCCNCCCc2ccc(Cl)cc2)cc1OC,96,2,1,,0.951256536,36
TCMDC-131281,Br.CCCCc1ccc(CCNCCCCCCNCCc2ccc(O)c(O)c2)cc1,100,-1,5,,1.067233552,45
TCMDC-131282,Cl.COc1ccc(CNCCCCCCNCCc2ccc(Cl)cc2)cc1OC,96,0,0,,1.393392287,21
TCMDC-131283,Br.Oc1ccc(CNCCCCCCNCCc2ccc(Cl)cc2)cc1O,94,7,2,,0.989488226,2
TCMDC-131284,Cl.COc1cccc(CCNCCCCCCNCCc2ccc(Cl)cc2)c1,100,3,-1,,1.009019584,32
TCMDC-131285,Br.Oc1cccc(CCNCCCCCCNCCc2ccc(Cl)cc2)c1,96,-3,-1,,0.773814563,23
TCMDC-131286,CCN(CC)c1ccc(cc1)C(c1ccc(cc1)N(CC)CC)c1ccc(cc1)N(=O)=O,82,63,0,,0.946469988,20
TCMDC-131287,OC(C1CN(CCc2ccccc2)CCC1(O)c1ccccc1)c1ccccc1,97,92,-2,,1.038618153,-2
TCMDC-131288,Cl.CCNC1=NC2=C(CC(CC2)C(C)(C)C)C2(CCC(CC2)C(C)(C)C)S1,99,99,4,,0.833929103,40
TCMDC-131289,Cc1ccc2[nH]c(cc2c1)-c1ccccc1N,97,8,8,,0.923275453,11
TCMDC-131290,Cl.NC1=NC(CCc2ccccc2)N(C(N)=N1)c1ccc(Cl)cc1,94,20,-5,,0.037988603,2
TCMDC-131291,Cl.NC1=NC(Cc2ccccc2)N(C(N)=N1)c1ccc(Cl)cc1,93,4,-2,,0.137092677,21
TCMDC-131292,CS(O)(=O)=O.NC1=NC(CCc2ccccc2)N(C(N)=N1)c1ccccc1,94,15,-9,,0.077072789,1
TCMDC-131293,Cl.CCCC1N=C(N)N=C(N)N1c1ccccc1,93,-3,-6,,0.822519186,-4
TCMDC-131294,Cl.CCC1(C)N=C(N)N=C(N)N1c1ccccc1,98,-2,0,,0.791814288,6
TCMDC-131295,Br.CCCC1N=C(N)N=C(N)N1c1ccc(OC)cc1,96,4,-3,,0.234223305,-2
TCMDC-131296,Cl.CCCC1N=C(N)N=C(N)N1c1ccc(Cl)cc1,96,-2,5,,0.046673199,14
TCMDC-131297,Br.CCCC1N=C(N)N=C(N)N1c1ccc(C)cc1,94,2,-3,,0.095165319,1
TCMDC-131298,Cl.CCCC1N=C(N)N=C(N)N1c1cccc(c1)C(F)(F)F,95,7,5,,0.594376595,22
TCMDC-131299,Br.CCCC1N=C(N)N=C(N)N1c1cccc(c1)N(=O)=O,96,1,3,,0.760189864,-4
TCMDC-131300,Br.CCCC1N=C(N)N=C(N)N1c1ccc(CC)cc1,94,4,1,,0.066925499,11
TCMDC-131301,Br.CCCC1N=C(N)N=C(N)N1c1ccc(C)c(C)c1,95,-2,-3,,0.073573951,7
TCMDC-125517,Cl.CCN(CC)CCCNc1c2ccccc2nc2ccccc12,100,0,-1,,0.753002127,17
TCMDC-131302,CCOC(=O)c1cc(=O)c2ccc(OCC#N)cc2o1,88,86,-6,,1.026208467,2
TCMDC-125516,Cl.CC1(C)N=C(N)N=C(N)N1CCc1ccccc1,93,-1,-4,,0.047356149,50
TCMDC-131303,Br.COc1nc(nc2ccccc12)-n1ccc(=N)cc1,90,45,1,,1.061913925,15
TCMDC-131304,Cl.Cc1cc2ccccc2c(CON2C(=N)N=C(N)NC2(C)C)c1C,93,31,-3,,0.009495788,65
TCMDC-131305,Br.CCc1ccccc1OCCCON1C(=N)N=C(N)NC1(C)C,95,97,-2,<,0.0032,77
TCMDC-131306,Br.CCc1cccc(OCCCON2C(=N)N=C(N)NC2(C)C)c1,95,94,5,<,0.0032,63
TCMDC-131307,Br.Cc1cccc(CC=C)c1OCCCON1C(=N)N=C(N)NC1(C)C,94,95,-8,<,0.0032,65
TCMDC-131308,Br.CC(C)(C)c1ccc(OCCCON2C(=N)N=C(N)NC2(C)C)c(c1)C(C)(C)C,93,97,2,<,0.0032,64
TCMDC-131309,Br.CC(C)c1ccc(OCCCON2C(=N)N=C(N)NC2(C)C)cc1,93,97,0,<,0.0032,69
TCMDC-125862,OC(=O)C1CN(C(=O)C1)c1ccc(Cl)cc1,97,33,6,,0.219085632,51
TCMDC-123508,O=C1COc2ccc3ccccc3c12,99,3,6,,0.701347387,-3
TCMDC-131310,O.CN(C)C(CC(=O)N(C)C)C(=O)NCc1ccccc1Cl.CN(C)C(CC(=O)NCc1ccccc1Cl)C(=O)N(C)C,96,2,-3,,0.895966144,7
TCMDC-131311,CC(=O)Nc1[nH]c(nc1C(N)=O)-c1ccccc1,99,-2,4,,0.249218907,10
TCMDC-131312,CCCCc1cc(O)c2c(OC(C)(C)C=C2C2=CCN(Cc3ccccc3)CC2)c1,98,3,-5,,0.246831832,9
TCMDC-131313,Cc1cc(O)c2c(OC(C)(C)C=C2C2=CCN(Cc3ccccc3)CC2)c1,96,1,-3,,0.79110239,-2
TCMDC-131314,Cc1cc(OCc2ccncc2)cc2OC(C)(C)CC(=O)c12,99,0,-5,,0.182708657,-5
TCMDC-131315,CNC(=O)c1nc([nH]c1NC(C)=O)-c1ccccc1,100,-2,-2,,0.152107251,-3
TCMDC-131316,Cl.CCOC(=O)Cc1nc(C(=O)OCC)c(N)[nH]1,94,24,-1,,0.646963996,2
TCMDC-131317,CC(C)(C)c1cc(Cn2ccnc2)cc(c1O)C(C)(C)C,85,3,-2,,1.03912427,4
TCMDC-123465,COc1ccc(C(=O)CC(=O)c2ccc(OC)cc2OC)c(OC)c1,98,-2,2,,0.30013776,1
TCMDC-131318,OC(=O)C(Cc1ccccc1)NC(=O)c1cc(=O)c2ccccc2o1,99,10,-6,,0.191281421,53
TCMDC-125869,NC12CC3CC(CC(C3)C1)C2,98,-1,-7,,0.164459068,31
TCMDC-131319,Br.CC1(C)NC(N)=NC(=N)N1OCCCCCOc1ccccc1,95,97,4,<,0.0032,61
TCMDC-131320,Br.CCCc1cc(C)ccc1OCCCON1C(N)=NC(N)=NC1(C)C,97,97,2,<,0.0032,64
TCMDC-131321,Br.CCc1ccc(OCCCON2C(=N)N=C(N)NC2(C)C)cc1,95,95,-8,<,0.0032,64
TCMDC-131322,Cl.CC(C)Sc1ccc(Cl)cc1CON1C(=N)N=C(N)NC1(C)C,93,90,6,<,0.0032,66
TCMDC-131323,Cl.CC(C)c1ccc(C)c(CON2C(=N)N=C(N)NC2(C)C)c1,94,92,-3,<,0.0032,66
TCMDC-131324,Br.CCSc1ccccc1CON1C(=N)N=C(N)NC1(C)C,96,10,-3,<,0.0032,62
TCMDC-131325,Br.Cc1cccc2c(CON3C(N)=NC(N)=NC3(C)C)cccc12,94,94,-1,<,0.0032,64
TCMDC-131326,Br.Cc1ccc(OCCCON2C(N)=NC(N)=NC2(C)C)c(CC=C)c1,96,96,-6,<,0.0032,64
TCMDC-131327,Br.CC1(C)N=C(N)N=C(N)N1OCc1cccc2c1ccc1ccccc21,95,97,4,<,0.0032,63
TCMDC-131328,Br.CCCc1cc(OCCCOc2ccccc2)ccc1OCCCON1C(=N)N=C(N)NC1(C)C,94,96,6,<,0.0032,68
TCMDC-125537,CC(C)(C)c1cc(CN2CCN(Cc3ccccc3)CC2)cc(c1O)C(C)(C)C,97,0,0,,0.7706548,9
TCMDC-131329,Cc1nccn1Cc1cc(c(O)c(c1)C(C)(C)C)C(C)(C)C,99,-4,-5,,0.787700749,8
TCMDC-131330,C(Oc1ccc(cc1)C1CCCCC1)c1ccccn1,99,1,0,,0.773761414,0
TCMDC-131331,CN(C)CCOc1cc(O)c2c(OC(C)(C)C=C2c2cccs2)c1,99,10,-2,,0.29,29
TCMDC-131332,O.OC1=C(C(=O)c2cccc(F)c12)N(=O)=O,95,13,0,,0.148539469,9
TCMDC-131333,Cl.CC(C)[C@H](NCC(=O)c1ccccc1)C(O)=O,99,0,-3,,0.783352323,6
TCMDC-125536,CC(=O)c1ccc(cc1)-n1ccnc1,92,-1,-3,,0.851908069,-4
TCMDC-131334,CCOC(=O)C(NC(=O)Cc1ccccc1)C(C)C,96,98,4,,0.294531268,39
TCMDC-131335,CCCCCc1cc(O)c2C(CC(C)(C)Oc2c1)C1=CCN(Cc2ccccc2)CC1,99,79,-5,,0.766532612,15
TCMDC-131336,Br.CCCc1cc(ccc1OCCCON1C(=N)N=C(N)NC1(C)C)C(C)=O,96,96,4,,0.00457249,61
TCMDC-131337,Br.COc1cccc(CC=C)c1OCCCON1C(=N)N=C(N)NC1(C)C,94,95,-1,<,0.0032,58
TCMDC-131338,Br.CCCc1cccc(OC)c1OCCCON1C(N)=NC(N)=NC1(C)C,94,97,5,<,0.0032,65
TCMDC-131339,CCOC(=O)NC1=NC(C)(C)N(OCc2cccc3c2ccc2ccccc32)C(NC(=O)OCC)=N1,98,3,4,,0.172431322,3
TCMDC-131340,CCOC(=O)NC1=NC(C)(C)N(OCCCOc2ccc(C)cc2C)C(NC(=O)OCC)=N1,95,98,7,,0.125603309,63
TCMDC-131341,Br.CC1(C)N=C(N)N=C(N)N1OCCCOc1ccc(Br)cc1CC=C,95,97,2,<,0.0032,61
TCMDC-131342,Cl.CC1N=C(N)N=C(N)N1OCc1ccccc1,94,72,7,,0.032876027,62
TCMDC-131343,CCCc1cc(C)ccc1OCCCON1C(NC(=O)OCC)=NC(NC(=O)OCC)=NC1(C)C,95,97,0,,0.03585876,62
TCMDC-131344,Cl.CO.Cc1nc(N)nc(N)c1OCc1cccc2c1ccc1ccccc21,95,16,1,,0.098779035,54
TCMDC-131345,Cl.COc1ccc(cc1OC)C1N=C(N)N=C(N)N1OCc1ccccc1,95,2,0,,0.132803066,1
TCMDC-131346,Cl.COc1cc(COc2c(C)nc(N)nc2N)cc(OC)c1OC,100,-5,-9,,0.332102129,7
TCMDC-131347,CCCCCC(C)C(C)c1cc(O)c2C(CC(C)(C)Oc2c1)c1ccn(=O)cc1,96,7,5,,0.498967892,-2
TCMDC-131348,Cl.CC1(C)CC(=O)c2c(O)cc(OCc3ccncc3)cc2O1,92,47,-1,,1.042284968,80
TCMDC-131349,CCCCCC(C)C(C)c1cc(O)c2c(OC(C)(C)C=C2c2ccn(=O)cc2)c1,91,2,1,,1.186398321,11
TCMDC-131350,CCCCCC(C)c1cc(O)c2c(OC(C)(C)C=C2C2=CCN(Cc3ccccc3)CC2)c1,96,96,-5,,0.780368312,13
TCMDC-131351,OC(=O)\C=C\C(O)=O.CCCCCc1cc(OC(C)=O)c2c(OC(C)(C)C=C2C2=CCN(Cc3ccccc3)CC2)c1,97,88,-3,,0.926218322,14
TCMDC-125535,COCC(=O)Nc1nc2ccccc2[nH]1,98,1,-5,,0.301494887,-14
TCMDC-131352,Cl.COc1cccc(OC)c1OCCCOc1c(C)nc(N)nc1N,97,-1,0,,0.45852917,31
TCMDC-131353,O.Cl.Cc1nc(N)nc(N)c1OCCCCOc1ccccc1,94,4,-1,,0.053544699,62
TCMDC-131354,Cl.Cc1nc(N)nc(N)c1OCCCCCCOc1ccccc1,95,-3,-2,,0.235414849,59
TCMDC-131355,Br.CCCc1cccc(C)c1OCCCON1C(=N)N=C(N)NC1(C)C,95,96,-2,<,0.0032,57
TCMDC-131356,Cl.COc1ccccc1COc1c(C)nc(N)nc1N,98,1,-1,,0.705600786,32
TCMDC-131357,Cl.Cc1nc(N)nc(N)c1OCc1cccc2ccccc12,96,11,-1,,0.07271546,63
TCMDC-131358,Cl.COc1ccc(OCCCOc2c(C)nc(N)nc2N)c(CC=C)c1,92,97,-2,<,0.0032,67
TCMDC-131359,Cl.CCSc1ccccc1COc1c(C)nc(N)nc1N,93,4,3,,0.068404973,54
TCMDC-131360,Cl.COc1cc(CCOc2c(C)nc(N)nc2N)cc(OC)c1OC,93,-3,4,,0.023752739,59
TCMDC-131361,COc1cc(CCCOc2c(N)nc(N)nc2N)cc(OC)c1OC,88,0,2,,1.222112923,8
TCMDC-131362,CCOC(=O)C(Oc1ccc2ccccc2c1)C(=O)OCC,98,0,-4,,0.755499683,8
TCMDC-131363,CCOc1ccc2NC(C)(C)CC(C)(c3ccc4NC(C)(C)CC(C)c4c3)c2c1,94,3,-5,,0.802879208,5
TCMDC-131364,Cl.Cc1nc(N)nc(N)c1OCCCOc1ccccc1Br,94,96,-3,,0.004095221,57
TCMDC-131365,Br.Cc1cc(Br)c(OCCCON2C(=N)N=C(N)NC2(C)C)c(Br)c1,95,97,-3,<,0.0032,62
TCMDC-131366,Cl.Cc1nc(N)nc(N)c1OCCCOc1ccc(Br)cc1CC=C,94,96,-3,<,0.0032,56
TCMDC-131367,Cl.Nc1nc(N)c(OCCCOc2ccc(Br)cc2CC=C)c(N)n1,92,0,4,,0.192246712,47
TCMDC-131368,Br.COc1cc(CCON2C(N)=NC(N)=NC2(C)C)cc(OC)c1OC,93,95,-1,,0.049261311,59
TCMDC-131369,Cl.Cc1nc(N)nc(N)c1OCCCOc1cccc(Cl)c1Cl,93,95,-2,,0.002558784,59
TCMDC-131370,CCOC(=O)C(C(=O)OCC)c1nc(C)ns1,99,-3,-3,,0.470767018,10
TCMDC-131371,Br.COc1cc(OCCCCCCON2C(=N)N=C(N)NC2(C)C)cc(OC)c1OC,94,93,-5,<,0.0032,41
TCMDC-131372,CC(CO)(C#C)N1CCCC1,95,1,-4,,0.379302239,10
TCMDC-131373,NC(=O)c1c(Cl)nc2ccccc2c1Cl,91,-2,-2,,0.959985791,2
TCMDC-125824,FC(F)(F)C(=O)CC(=O)c1ccc2OCOc2c1,96,0,0,,0.744443269,44
TCMDC-131374,COC(C1CCCCC1)(C(=O)OCCC1CCCN1C)c1ccccc1,100,5,4,,0.71099461,3
TCMDC-131375,CN1CCC(COC(=O)C(O)(c2ccccc2)c2ccccc2)C1,98,4,-4,,0.997196108,0
TCMDC-131376,CCCN(CC)CCOC(=O)c1ccccc1,99,1,-4,,0.739066577,2
TCMDC-131377,CCOC(=O)c1ccc(COc2ccc(C)nc2)cc1,100,-7,-8,,0.542273256,14
TCMDC-131378,COC1(C)Oc2ccc3cccc(c3c2C1=O)N(=O)=O,98,-4,-2,,0.634743205,3
TCMDC-125881,Oc1ccc(OCc2ccccn2)cc1,98,0,2,,0.979571792,5
TCMDC-131379,Cl.CN(C)CC(O)C(O)(c1ccccc1)c1ccc(F)cc1,93,10,4,,1.150036749,-10
TCMDC-125871,OC(c1ccc(cc1)N(=O)=O)P(=O)(c1ccccc1)c1ccccc1,98,1,0,,0.341449361,1
TCMDC-131380,CC1SC(=S)NC1C(O)=O,94,-1,0,,ND,3
TCMDC-131381,Br.CC=CCON1C(=N)N=C(N)NC1(C)C,94,1,5,,0.027921263,57
TCMDC-131382,CCOC(C(=O)OCC1CCCN(C)C1)(c1ccccc1)c1ccccc1,98,3,0,,0.86756543,13
TCMDC-123907,COc1ccc2nc(N)nc(C)c2c1,90,1,5,,0.926836704,5
TCMDC-131383,Cc1ccc2c(O)c(c(O)nc2c1)N(=O)=O,98,-1,-4,,0.422181125,3
TCMDC-131384,Cc1cccc2nc(O)c(c(O)c12)N(=O)=O,95,-2,-2,,0.910567892,-2
TCMDC-123464,Cc1nc2ccccc2c(O)c1N(=O)=O,88,-2,-5,,1.111492266,5
TCMDC-131385,Oc1nc2CCCc2c(O)c1N(=O)=O,97,1,-5,,1.048179318,9
TCMDC-131386,Cc1ccc(C(=O)NC2C(NC2=O)c2ccccc2)c(C)c1,90,-1,-4,,0.954831335,7
TCMDC-131387,CC(N)(Cc1ccc(O)cc1)c1nnn[nH]1,93,2,4,,0.969380074,7
TCMDC-131388,COC(=O)CC[C@H](NC(=O)[C@H](C)NC(=O)OC(C)(C)C)C(=O)OC,95,0,-2,,0.818594728,12
TCMDC-131389,CCN1CCCC(C1)OC(=O)C(O)(c1ccc2OCOc2c1)c1ccc2OCOc2c1,98,7,-1,,0.784997314,3
TCMDC-131390,CCN1CCCC1COC(=O)C(O)(c1ccc2OCOc2c1)c1ccc2OCOc2c1,97,-1,-3,,0.801381161,6
TCMDC-131391,CCOC(C(=O)OCCN(C(C)C)C(C)C)(c1ccccc1)c1ccccc1,97,4,-2,,0.874290104,4
TCMDC-131392,CCCN(CCC)CCOC(=O)C(OCC)(c1ccccc1)c1ccccc1,97,0,0,,0.870507185,-2
TCMDC-123475,CNC(=S)NN=C(C)c1ccccn1,98,99,-4,,0.271946527,64
TCMDC-131393,Cc1ccc(cc1)S(=O)Cc1ccc(Cl)cc1,98,5,-2,,0.196248992,8
TCMDC-131394,[Na+].Cc1ccc2[nH]c([N-]C#N)nc2c1,96,-3,2,,1.15171488,7
TCMDC-131395,Cl.CN(C)CC(O)C(c1ccccc1)c1cccc(Br)c1,98,9,-8,,0.164302209,22
TCMDC-131396,C[C@H](NC(=O)[C@H](CCCCNC(=O)OC(C)(C)C)NC(=O)OC(C)(C)c1ccc(cc1)-c1ccccc1)C(=O)OCc1ccccc1,97,1,-7,,0.181318973,4
TCMDC-125534,COc1ccc(cc1OCc1ccccc1)C(O)=O,99,-3,3,,0.819180273,-3
TCMDC-125533,CCOC(=O)c1ccc(OCCOc2ccccc2)cc1,99,-3,-1,,0.366832517,63
TCMDC-131397,CCOC(=O)c1ccc(OCc2ccc(cc2)-c2ccccc2)cc1,96,-1,3,,0.81322897,18
TCMDC-131398,COc1ccc2oc(=O)c(C#N)c(O)c2c1,99,-4,2,,0.210766172,-2
TCMDC-131399,CCCCCc1cc(OC(=O)CCCN(CC)CC)c2c(OC(C)(C)C=C2C2=CCN(Cc3ccc4ccccc4c3)CC2)c1,100,92,-2,,0.155775932,94
TCMDC-131400,CCCCCc1cc(O)c2c(OC(C)(C)C=C2C2=CCN(Cc3ccsc3)CC2)c1,98,48,-1,,0.964410748,20
TCMDC-131401,Cc1ccc(cc1)S(O)(=O)=O.CCCCCCNC(=O)C(N)CCCC(N)C(=O)NCCCCCC,99,-5,-2,,0.161947546,-2
TCMDC-131402,Cl.CN(C)CCOc1ccc2c(OC(C)(C)C=C2c2cccc3ccccc23)c1,95,48,-2,,0.784642053,66
TCMDC-131403,Cl.COc1cccc(c1)C1=CC(C)(C)Oc2cc(OCCN(C)C)ccc12,97,96,-4,,0.794207257,57
TCMDC-131404,NC(=O)N[C@H](CC#C)C(O)=O,97,0,-2,,0.189166103,1
TCMDC-131405,Cc1nc2ccccc2c(=O)n1NCc1ccc(Cl)c(Cl)c1,96,92,0,,0.145628504,12
TCMDC-131406,CCOC(=O)NOC(C(O)=O)c1ccccc1,99,17,-1,,0.189091242,4
TCMDC-131407,CNC(=S)NCc1cnc2ccccn12,97,-2,3,,0.195352879,-2
TCMDC-123821,CCOC(=O)c1ccc(NCc2ccccn2)cc1,99,-2,-6,,0.62558511,-3
TCMDC-131408,CCC(=O)Oc1ccc(NC(=O)c2cccc(OC)c2)cc1,98,3,6,,0.771366356,17
TCMDC-131409,CCOC(=O)c1ccc(OCCCCCCOc2ccc(Br)cc2)cc1,98,-2,-4,,0.77690641,12
TCMDC-131410,Cl.CN(C)CCOc1ccc2C(CN(C)Cc2c1)c1ccccc1,91,-1,-2,,1.113199481,15
TCMDC-131411,CCc1cc2c(O)c(c(=O)oc2cc1OCCCCCOc1cc2oc(=O)c(c(O)c2cc1CC)N(=O)=O)N(=O)=O,99,0,-1,,0.257410456,11
TCMDC-131412,CN(C)CCC(O)(c1ccc(Br)cc1)c1cccnc1,96,1,5,,0.831356989,22
TCMDC-131413,OC(=O)CCC(O)=O.CN(C)CC(O)C(c1ccccc1)c1ccc(Cl)cc1,99,4,2,,0.048360963,4
TCMDC-131414,CC(=O)c1c(CC(O)=O)c2ccccc2n1O,98,-1,-3,,0.735131681,16
TCMDC-131415,CCN(CC)CCC(OC(=O)CC)(c1ccccc1)c1ccccc1,98,6,4,,0.369266713,30
TCMDC-131416,CCN(CC)c1ccccc1CNC(=O)c1cc(Cl)c(N)cc1OC,97,94,-1,,0.213262722,6
TCMDC-125868,Oc1ccccc1C(=O)NC(=O)c1ccccc1O,97,79,-2,,0.70370383,-5
TCMDC-131417,O.Cl.CCCCCc1cc(O)c2C(CC(C)(C)Oc2c1)C1=CCN(Cc2cccnc2)CC1,97,97,-1,,0.990525478,15
TCMDC-131418,O.Cl.CCCCCc1cc(O)c2C(CC(C)(C)Oc2c1)C1=CCN(Cc2cnc3ccccc3c2)CC1,98,98,0,,0.276180085,27
TCMDC-131419,Br.NCC(=O)NC12CC3CC(CC(C3)C1)C2,87,-4,-2,,1.198245411,15
TCMDC-131420,CCCCC(O)c1cc(O)c2C(CC(C)(C)Oc2c1)C1=CCN(Cc2ccc3ccccc3c2)CC1,100,97,3,,0.969532126,7
TCMDC-131421,COC(=O)c1ccc(CC(C)NCC(O)c2cc(Cl)c(N)c(Cl)c2)cc1,91,66,-7,,0.877149081,-2
TCMDC-131422,COC(=O)c1ccc(CC(C)NCC(O)c2ccccc2Cl)cc1,94,55,1,,1.013456228,1
TCMDC-131423,Cl.CCCc1ccccc1OCC(O)CN(C1CCCC1)C1CCCC1,97,97,-7,,0.469635425,49
