Smiles,mol_name,cdk2_ic50,cdk2_inhib,scaffold,sourcepool,cdk_act_bin_1
C#CCNC(=O)CSc(n1)nccc1c(c2C)[s]c3[s]cc(C)c23,mol_27,None,-0.50,Scaffold_00,divscreen,0
C#CCNCCC(=O)c1[s]c(Cl)cc1,mol_28,None,3.80,Scaffold_00,divscreen,0
C#CCN\C(=N\1)OC(C1=O)c2ccccc2,mol_29,None,29.70,Scaffold_00,divscreen,0
C#CCNc(cc1)nc(n1)NC(C)(C)C(=O)OC,mol_30,None,53.17,Scaffold_05,synscreen,100
C#CCNc(n1)c(C)cnc1Nc(cc2C)c(Cl)cc2,mol_31,None,54.76,Scaffold_05,synscreen,100
C#CCNc(n1)cc(C)nc1Nc(cc2)c(CO)cc2C,mol_32,None,36.15,Scaffold_05,synscreen,50
C#CCNc(n1)ccnc1Nc(cc2)c(C)c(c2)F,mol_33,None,36.05,Scaffold_05,synscreen,50
C#CCNc(n1)ncc(C)c1Nc(cc2C)c(O)cc2,mol_34,None,45.74,Scaffold_05,synscreen,50
C#CCNc1c(C)cnc(n1)Nc2cc(C)[nH]n2,mol_35,None,51.51,Scaffold_05,synscreen,100
C#CCOC(=O)CCCCCNc1c([N+]([O-])=O)cc(cc1)[N+]([O-])=O,mol_36,None,14.90,Scaffold_00,divscreen,0
C#CCOC(=O)CN(C1=O)C(=O)c(c23)cccc3cccc12,mol_37,None,16.20,Scaffold_00,divscreen,0
C#CCOC(=O)NC(=O)c(c(C)[o]n1)c1c2c(C)nn[s]2,mol_38,None,20.50,Scaffold_00,divscreen,0
C#CCOC(=O)Nc(n1)cc(C)[n]1c2c(Cl)cc(Cl)cc2Cl,mol_39,None,14.00,Scaffold_00,simscreen,0
C#CCOC(=O)c(ccc1)c(c1)C(=O)Nc2ccc(cc2)[N+]([O-])=O,mol_40,None,7.60,Scaffold_00,divscreen,0
C#CCOC(=O)c(ccc1)c(c1)C(=O)O,mol_41,None,20.10,Scaffold_00,divscreen,0
C#CCOC(CC(C)N1)NC1=S,mol_42,None,14.80,Scaffold_00,divscreen,0
C#CCOCC(O)CN(C)C,mol_43,None,24.00,Scaffold_00,divscreen,0
C#CCOCC(O)C[S]([O-])(=O)=O,mol_44,None,-9.40,Scaffold_00,divscreen,0
C#CCOCC(O)C[n+](c1)cccc1,mol_45,None,10.50,Scaffold_00,divscreen,0
C#CCOc(c(Cl)cc1Cl)cc1NC(=O)CSCC(=O)O,mol_46,None,23.30,Scaffold_00,divscreen,0
C#CCOc(c(c1)I)c(OC)cc1/C=N/NC(=O)C[n](n2)nnc2c(c3)cccc3,mol_47,None,22.50,Scaffold_00,divscreen,0
C#CCOc(c(c1)OC)c(I)cc1/C=N/Nc(n2)nc(NCc3ccc[o]3)nc2Nc4ccc(cc4)OC,mol_48,None,41.20,Scaffold_00,divscreen,50
C#CCOc(c(c1)OC)c(I)cc1/C=N\NC(=O)C[n]2c(c3c(N)n[o]n3)nc4ccccc24,mol_49,None,15.90,Scaffold_00,divscreen,0
C#CCOc(c(c1)OC)ccc1/C=N/NC(=O)c2cc(C)ccc2,mol_50,None,17.90,Scaffold_00,divscreen,0
C#CCOc(c(c1)OC)ccc1/C=N/NC(=O)c2cc([N+]([O-])=O)ccc2,mol_51,None,25.20,Scaffold_00,divscreen,0
C#CCOc(c(c1)OC)ccc1/C=N/N\C(=N\2)SCC2=O,mol_52,None,18.80,Scaffold_00,divscreen,0
C#CCOc(cc1)cc(c1C(=O)O)OCC#C,mol_53,None,13.40,Scaffold_00,divscreen,0
C#CCOc(ccc1)c(c1)/C=N/NC(=O)CCCC(=O)N\N=C\c2ccccc2OCC#C,mol_54,None,19.00,Scaffold_00,divscreen,0
C#CCOc(ccc1)c(c1)/C=N/NC(=O)c2ccc(cc2)OCc3cccc(c3)Br,mol_55,None,9.50,Scaffold_00,divscreen,0
C#CCOc(nc(n1)OCC#C)nc1Nc(cc2)cc(c2)[N+]([O-])=O,mol_56,None,19.40,Scaffold_00,divscreen,0
C#CCOc(nc1N(c(c2)cccc2)c3ccccc3)nc(n1)Nc4ccc(C)cc4,mol_57,None,31.90,Scaffold_00,divscreen,50
C#CCOc1ccccc1/C=N/NC(=O)C(C)Oc(cc2)cc3ccccc23,mol_58,None,12.20,Scaffold_00,divscreen,0
C#CCOc1ccccc1/C=N/NC(=O)COc2ccc(Br)cc2,mol_59,None,20.10,Scaffold_00,divscreen,0
C#CCOc1ccccc1/C=N/NC(=O)COc2ccc(cc2)OC,mol_60,None,14.50,Scaffold_00,divscreen,0
C#CCOc1ccccc1/C=N/NC(=O)c(cc2)ccc2OCC=C,mol_61,None,12.60,Scaffold_00,divscreen,0
C#CCOc1ccccc1/C=N/NC(=O)c(cc2)nc3ccccc23,mol_62,None,-5.70,Scaffold_00,divscreen,0
C#CCOc1ccccc1/C=N/NC(=O)c2ccccc2OCc(c3)cccc3,mol_63,None,10.00,Scaffold_00,divscreen,0
C#CCSC(=N/1)/N(C(=O)c2[s]ccc12)c3ccccc3,mol_64,None,19.20,Scaffold_00,divscreen,0
C#CCSC(=N/c1ccccc12)/N(C2=O)c3ccccc3OC,mol_65,None,17.40,Scaffold_00,divscreen,0
C#CCSC(=O)NC(=N)N,mol_66,None,1.60,Scaffold_00,divscreen,0
C#CCSc([n]1CC=C)nnc1CN[S](=O)(=O)c2ccc(Cl)cc2,mol_67,None,10.20,Scaffold_00,divscreen,0
C#CCSc([n]1c(cc2C)c(C)cc2)nnc1Cc3ccc(OC)c(c3)OC,mol_68,None,16.20,Scaffold_00,divscreen,0
C#CCSc([n]1c2ccc(C(C)C)cc2)nnc1c(cc3)ccc3C(C)(C)C,mol_69,None,20.20,Scaffold_00,divscreen,0
C#CCSc([s]1)nnc1SCC(=O)c([s]2)c(C)c3cc(Cl)ccc23,mol_70,None,2.00,Scaffold_00,divscreen,0
C#CCSc(c1\C(N)=N\O)n[s]c1SCC#C,mol_71,None,16.70,Scaffold_00,divscreen,0
C#CCSc(n1)[n](C(C)C)c2ccc(cc12)[S](C)(=O)=O,mol_72,None,12.48,Scaffold_00,simscreen,0
C#CCSc(n1)ncc(C(=O)O)c1C(OC)OC,mol_73,None,9.50,Scaffold_00,divscreen,0
C#CCSc(n1)nccc1c([s]2)c(C)nc2COc(c(c3)Cl)ccc3,mol_74,None,17.50,Scaffold_00,divscreen,0
C#CCSc(n1)nccc1c([s]2)c(C)nc2c3ccc[s]3,mol_75,None,39.80,Scaffold_00,divscreen,50
C#CCSc(nnn1)[n]1c(cc2)cc(c2)Cl,mol_76,None,20.40,Scaffold_00,divscreen,0
C#CCSc1ccccc1\C2=N\CCCN2,mol_77,None,-4.60,Scaffold_00,divscreen,0
C#CC[N+](C1)(CCCC1)CC#Cc2ccc(cc2)C#CC[N+]3(CC#C)CCCCC3,mol_78,None,12.50,Scaffold_00,divscreen,0
C#CC[N+](CC1)(CCO1)CC#Cc2ccc(cc2)C#CC[N+]3(CC#C)CCOCC3,mol_79,None,15.10,Scaffold_00,divscreen,0
C#CC[N+](CCC)(CCC)CC#Cc(ccc1)c2ccccc12,mol_80,None,23.90,Scaffold_00,divscreen,0
C#CC[N+](CCCC)(CCCC)CC#Cc(c1)cccc1,mol_81,None,24.30,Scaffold_00,divscreen,0
C#CC[N+]1(CCCC1)CC#Cc2ccc(cc2)C#CC[N+]3(CC#C)CCCC3,mol_82,None,25.60,Scaffold_00,divscreen,0
C#CC[n](c(c1c(c2)cccc2)c3ccccc3)c(n1)SCc4ccc(cc4)OC,mol_83,None,9.10,Scaffold_01,divscreen,0
C#CC[n]1c(CC(C)C)c(CC(C)C)nc1SCc2ccc(F)cc2,mol_84,None,6.50,Scaffold_01,divscreen,0
C#C[C@](O)(CC1)[C@@]2(C)CC[C@@H]3c4ccc(O)cc4CC[C@H]3[C@H]12,mol_85,None,9.10,Scaffold_00,divscreen,0
C#C[C@](O)(CC[C@@H]12)[C@@]2(C)CC[C@@H]3c4ccc(OC)cc4CC[C@@H]13,mol_86,None,4.60,Scaffold_00,divscreen,0
C#C[C@](O)(CC[C@@H]12)[C@@]2(C)CC[C@H]3[C@H]1CC/C(=C3/4)CC(=O)CC4,mol_87,None,17.20,Scaffold_00,divscreen,0
C#C[C@](O)(CC[C@H]1[C@@H]2CC3)[C@@]1(C)CC[C@@H]2[C@@]4(C)Cc(c5/C=C3\4)c[n]6c(n5)nc7ccccc67,mol_88,None,22.50,Scaffold_00,divscreen,0
C#C[C@]1(O)CC[C@@H]([C@@H]2CC3)[C@]1(C)CC[C@@H]2[C@@]4(C)Cc(c5/C=C3\4)cn[o]5,mol_89,None,18.50,Scaffold_00,divscreen,0
C#C[C@]1(OC(C)=O)CC[C@@H]([C@@H]2CC3)[C@]1(C)CC[C@@H]2[C@H]4CC[C@@H](/C=C3\4)OC(C)=O,mol_90,None,5.10,Scaffold_00,divscreen,0
C#Cc(c1)cccc1NC(=O)CC(C)[S](=O)(=O)c2ccc(Cl)cc2,mol_91,None,27.20,Scaffold_00,divscreen,0
C#Cc(c1)cccc1NC(=O)CSc(nc(c23)CCCC2)c(CN)c3c4ccc[s]4,mol_92,None,16.50,Scaffold_00,divscreen,0
C#Cc(c1)cccc1NC(=O)c(c(N)c2c(c34)c5ccc[s]5)[s]c2nc4CCCC3,mol_93,None,0.20,Scaffold_00,divscreen,0
C#Cc(cc1)cc(c1)NC(=N)NC(=N)N,mol_94,None,32.70,Scaffold_00,divscreen,50
C#Cc(cc1)cc(c1)NC(=O)CCCC(=O)O,mol_95,None,16.10,Scaffold_00,divscreen,0
C/12=C(/CC(C)(C)CC1=O)c3c([nH]nc3C)NC2c4ccc(cc4)N(C)C,mol_96,None,3.00,Scaffold_08,simscreen,0
C/12=C(/CC(C)(C)CC1=O)c3c([nH]nc3C)NC2c4ccc(cc4)OC,mol_97,None,22.00,Scaffold_08,simscreen,0
C/12=C(/CC(C)(C)CC1=O)c3c([n](nc3C)c4ccccc4)NC2c5ccc(cc5)N(C)C,mol_98,None,-3.00,Scaffold_08,simscreen,0
C/12=C(/CCCC1)SC(=N)N2CC(=O)c3ccc(cc3)c4ccccc4,mol_99,None,21.10,Scaffold_00,divscreen,0
C/12=C(/CCCC1=O)c3c([nH]nc3C)NC2c4ccc(cc4)N(C)C,mol_100,None,5.00,Scaffold_08,simscreen,0
C/12=C(C(C)CC(C1)=O)\C(=O)[n]3c(N2)c(cn3)c4ccc(cc4)OC,mol_101,None,24.48,Scaffold_10,synscreen,0
C/12=C(CCN(C1)Cc3ccccc3)\C(=O)[n]4c(N2)c(cn4)C(=O)Nc5c(C)n[n](C)c5C,mol_102,None,16.48,Scaffold_10,synscreen,0
C/12=C(CN(C1=O)Cc3ccc[o]3)\C(=O)N4\C(N2)=C/C(=O)N4c5ccccc5,mol_103,None,18.23,Scaffold_10,synscreen,0
C/12=C(CN(C1=O)Cc3ccc[o]3)\C(=O)[n]4c(N2)c(cn4)C(=O)Nc5c(C)n[n](C)c5C,mol_104,None,13.75,Scaffold_10,synscreen,0
C/12=C(CN(C1=O)Cc3ccc[o]3)\C(=O)[n]4c(N2)cc(n4)c5ccc[o]5,mol_105,None,32.09,Scaffold_10,synscreen,50
C/12=C(CSC1)\C(=O)[n]3c(N2)cc(n3)c4ccc[o]4,mol_106,None,30.00,Scaffold_10,simscreen,0
C/12=C(NC3=C(C(=O)OCC)CNN3C1=O)\CN(CC2)Cc4ccccc4,mol_107,None,25.25,Scaffold_10,synscreen,0
C/12=C(Nc3[n](C1=O)nnn3)\CN(CC2)Cc4ccccc4,mol_108,None,11.69,Scaffold_10,synscreen,0
C/12=C(Nc3c(C(=O)OCC)cn[n]3C1=O)\CN(CC2)Cc4ccccc4,mol_109,None,30.21,Scaffold_10,synscreen,50
C/12=C(Nc3c([S](=O)(=O)C(C)C)c(SC)n[n]3C1=O)\CN(CC2)Cc4ccccc4,mol_110,None,5.79,Scaffold_10,synscreen,0
C/12=C(SN(C1=S)c3ccccc3)\C(C)(C)N(c4ccc(C)cc24)Cc5ccc(cc5)OCC,mol_111,None,14.40,Scaffold_00,divscreen,0
C/12=C(SSC1=S)\C(C)(C)N(c3ccc(C)cc23)C(=O)CCC(=O)N4C(C)(C)/C5=C(/C(=S)SS5)c6cc(C)ccc46,mol_112,None,12.90,Scaffold_00,divscreen,0
C/12=C(\C(=N\O)CC(C)(C)C2)C3(O)CC(C)(C1)CC(C)(C)C3,mol_113,None,13.60,Scaffold_00,divscreen,0
C/12=C(\C(=O)N(C2)Cc3ccc[o]3)Nc4cc(C)n[n]4C1=O,mol_114,None,16.16,Scaffold_10,synscreen,0
C/12=C(\C(=O)N3C(/N2)=C\C(N3)=O)CN(C1=O)Cc4ccc[o]4,mol_115,None,11.26,Scaffold_10,synscreen,0
C/12=C(\C(=O)[n]3c(N2)nc(N)n3)CCN(C1)Cc4ccccc4,mol_116,None,4.14,Scaffold_10,synscreen,0
C/12=C(\C(=O)c3ccccc3N2)CC(C)(C)c4ccccc14,mol_117,None,16.00,Scaffold_00,simscreen,0
C/12=C(\C(=S)SS2)c3cc(OCC)ccc3N(C1(C)C)C(=O)CSc4nc5ccccc5[s]4,mol_118,None,25.20,Scaffold_00,divscreen,0
C/12=C(\C(C)(C)N(c3ccc(C)cc23)Cc4ccccc4)SN(C1=S)c5ccc(cc5)OCC,mol_119,None,19.00,Scaffold_00,divscreen,0
C/12=C(\C(C)(C)N(c3ccc(C)cc23)Cc4ccccc4)SN(C1=S)c5ccccc5OCC,mol_120,None,27.20,Scaffold_00,divscreen,0
C/12=C(\C(C)(C)Nc3cc(C)ccc23)SN(C1=S)c4ccc(cc4)OCCCC,mol_121,None,13.50,Scaffold_00,divscreen,0
C/12=C(\C(C)(C)Nc3ccc(C)cc23)SN(C1=S)c4ccc(cc4)OCCCC,mol_122,None,14.60,Scaffold_00,divscreen,0
C/12=C(\C(CC(=O)OC)SC2C(=O)OC)Nc3cc(C(C)(C)C)n[n]3C1=O,mol_123,None,21.22,Scaffold_10,synscreen,0
C/12=C(\CCC2)N(CCC)c3ccccc3C1=N,mol_124,None,14.20,Scaffold_00,divscreen,0
C/12=C(\CCCCC2)Nc3c4c(n[n]3C1=O)NC(=N\C4=O)/c5ccccc5,mol_125,None,8.90,Scaffold_10,synscreen,0
C/12=C(\CN(CC2)Cc3ccccc3)NC4=C(CNN4C1=O)C(=O)Nc5c(C)n[n](C)c5C,mol_126,None,20.11,Scaffold_10,synscreen,0
C/12=C(\CN(CC2)Cc3ccccc3)NC4=CC(NN4C1=O)c5ccc[o]5,mol_127,None,23.69,Scaffold_10,synscreen,0
C/12=C(\CN(CC2)Cc3ccccc3)NC\4=C\C(=O)N(N4C1=O)c5ccccc5,mol_128,None,11.36,Scaffold_10,synscreen,0
C/12=C(\CN(CC2)Cc3ccccc3)Nc4c(cn[n]4C1=O)C(=O)NC5=C(C)N(C)NC5C,mol_129,None,25.73,Scaffold_10,synscreen,0
C/12=C(\CN(CC2)Cc3ccccc3)Nc4cc(n[n]4C1=O)c5ccc(Cl)cc5,mol_130,None,10.54,Scaffold_10,synscreen,0
C/12=C(\CN(CC2)Cc3ccccc3)Nc4cc(n[n]4C1=O)c5ccc[o]5,mol_131,None,25.06,Scaffold_10,synscreen,0
C/12=C(\CSC2)Nc3c(C1=O)c(C)n[n]3C,mol_132,None,11.00,Scaffold_08,simscreen,0
C/12=C(\CSC2)Nc3cc(n[n]3C1=O)c4ccccc4,mol_133,None,25.00,Scaffold_10,simscreen,0
C/12=C(\NC(N2)=O)NC(=O)NC1=O,mol_134,None,19.39,Scaffold_12,simscreen,0
C/12=C/C(=O)N(c3ccccc3)N1C(=O)/C(=C(/C)N2)Cc4ccccc4,mol_135,None,12.12,Scaffold_10,synscreen,0
C/12=C/C(=O)N(c3ccccc3)N1C(=O)/C=C(N2)/c4cc(Br)cnc4,mol_136,None,13.64,Scaffold_10,synscreen,0
C/12=C/C(=O)NN1C(=O)/C(=C(/C)N2)Cc3ccccc3,mol_137,None,22.73,Scaffold_10,synscreen,0
C/12=C/C[C@@H]3[C@@H]([C@@]1(C)CC[C@@H](C2)O)CC[C@]4(C)C(/C(C)=N/O)=C\C[C@@H]34,mol_138,None,6.30,Scaffold_00,divscreen,0
C/12=C/C[C@@H]3[C@@H]([C@@]1(C)CC[C@@H](C2)O)CC[C@]4(C)[C@@H](C(=O)O)CC[C@@H]34,mol_139,None,9.00,Scaffold_00,divscreen,0
C/12=C/C[C@@H]3[C@@H]([C@@]1(C)CC[C@@H](C2)O)CC[C@]4(C)[C@@H](C(C)=O)CC[C@@H]34,mol_140,None,38.90,Scaffold_00,divscreen,50
C/12=C/C[C@@H]3[C@H](CC[C@]4(C)C(=O)CC[C@@H]34)[C@@]1(C)CC[C@@H](C2)O[S](=O)(=O)O,mol_141,None,6.20,Scaffold_00,divscreen,0
C/12=C/C[C@@H]3[C@H](CC[C@]4(C)[C@@H](O)CC[C@@H]34)[C@@]1(C)CC[C@@H](C2)O[S](=O)(=O)O,mol_142,None,33.70,Scaffold_00,divscreen,50
C/12=C/[C@@H](CO)CN(C)[C@@H]1Cc3c[nH]c4cccc2c34,mol_143,None,6.90,Scaffold_00,divscreen,0
C/12=C3\CC[C@@H]4C[C@H](O)CC[C@]4(C)[C@H]3C[C@H](O)[C@]1(C)[C@H](CC2)[C@H](C)CCC(=O)O,mol_144,None,40.70,Scaffold_00,divscreen,50
C/12=C\C(=N/NC(N)=S)CC[C@]2(C)[C@H]3CC[C@@]4(C)[C@H]([C@@H]3CC1)CC[C@@H]4O,mol_145,None,58.40,Scaffold_00,divscreen,100
C/12=C\C(=N\OCC(=O)O)CCC2[C@H]3CC[C@@]4(C)[C@H]([C@@H]3CC1)CC[C@@H]4O,mol_146,None,3.20,Scaffold_00,divscreen,0
C/12=C\C(=O)N(N2C(=O)/C=C(/C)N1)c3ccccc3,mol_147,None,4.89,Scaffold_10,synscreen,0
C/12=C\C(=O)N(c3ccccc3)N2C(=O)/C=C(N1)/c4cccc(c4)C(F)(F)F,mol_148,None,0.00,Scaffold_10,synscreen,0
C/12=C\C(=O)N(c3ccccc3)N2C(=O)/C=C(N1)/c4cccc(c4)[N+]([O-])=O,mol_149,None,19.82,Scaffold_10,synscreen,0
C/12=C\C(=O)NN2C(=O)/C=C(/C)N1,mol_150,None,9.90,Scaffold_10,synscreen,0
C/12=C\C(=O)c3cc(OC(F)(F)F)ccc3N2C(=O)/C(CC(=O)OC)=C\1C(=O)OCC,mol_151,None,-40.07,Scaffold_00,simscreen,0
C/12=C\C[C@@H]3[C@H](CC[C@]4(C)C(/C(C)=N/O)=C\C[C@@H]34)[C@@]2(C)CC[C@@H](C1)OC(C)=O,mol_152,None,21.40,Scaffold_00,divscreen,0
C/12=C\C[C@H]3[C@@H]4CC[C@H](C(=O)O)[C@@]4(C)CC[C@@H]3[C@@]2(C)CC[C@@H](C1)OC(C)=O,mol_153,None,23.50,Scaffold_00,divscreen,0
C/12=C\C[C@H]3[C@H]4[C@@](C)(C(=O)CC4)CC[C@@H]3[C@@]2(C)CC[C@@H](C1)O[S]([O-])(=O)=O,mol_154,None,1.10,Scaffold_00,divscreen,0
C/12=C\Cc3cc(O)ccc3[C@H]2CC[C@]4(C)C(=O)CC[C@@H]14,mol_155,None,5.60,Scaffold_00,divscreen,0
C/12=C\c3cc(Cl)cc(Cl)c3OC2(CCCC1)N4CCCC4,mol_156,None,4.90,Scaffold_00,divscreen,0
C/12=N/C(=N)NC(=N)N1\N=C(/CS2)c3ccc(Cl)cc3,mol_157,None,8.70,Scaffold_00,divscreen,0
C/12=N/CCCN1CCCN2C,mol_158,None,13.50,Scaffold_00,divscreen,0
C/12=N/CCN1C(=S)N3\C(S2)=N/CC3,mol_159,None,5.20,Scaffold_00,divscreen,0
C/12=N/CCN1C(Nc3cc(C(C)(C)C)n[n]23)c4cc(Cl)cc(Cl)c4O,mol_160,None,13.10,Scaffold_08,divscreen,0
C/12=N/CCN1C(c3cc(Cl)cc(Cl)c3O)Nc4cc(n[n]24)c5ccc[o]5,mol_161,None,50.80,Scaffold_08,divscreen,100
C/12=N/CCN1\C(SS2)=N/C(=O)c3ccc(C(F)(F)F)cc3,mol_162,None,24.40,Scaffold_00,divscreen,0
C/12=N/CCN1\C(SS2)=N\C(=O)c3ccccc3,mol_163,None,54.40,Scaffold_03,divscreen,100
C/12=N/CN(C(C)(C)C)CN1C(=O)C(S2)(CO)CO,mol_164,None,24.10,Scaffold_00,divscreen,0
C/12=N/CN(CN1CC(=O)S2)c3ccccc3,mol_165,None,23.80,Scaffold_00,divscreen,0
C/12=N/N(C(=O)N1CCCN2)c3cc(F)ccc3C,mol_166,None,13.30,Scaffold_00,divscreen,0
C/12=N/N(C(=O)N1CCCN2)c3cc(F)ccc3F,mol_167,None,2.90,Scaffold_00,divscreen,0
C/12=N/N(C(=O)N1CCCN2)c3ccc(F)cc3,mol_168,None,5.70,Scaffold_00,divscreen,0
C/12=N/N(C(=O)c3ccc(cc3)OC)C(C1CCCC2)NNC(=O)c4ccc(cc4)OC,mol_169,None,22.80,Scaffold_09,divscreen,0
C/12=N/N(C(c3ccc(cc3)OC)C1CCc4ccccc24)CCOC(=O)Nc5ccc(Cl)cc5,mol_170,None,-2.40,Scaffold_09,divscreen,0
C/12=N/N(C)C(C1N3CCC2CC3)c4ccc5c(c4)OCO5,mol_171,None,None,Scaffold_09,synscreen,50
C/12=N/N(C)C(c3cccnc3)C1N4CCC2CC4,mol_172,None,None,Scaffold_09,synscreen,50
C/12=N/N(CC(F)(F)F)C(c3ccccc3O)C1C(=O)c4ccccc24,mol_173,None,46.09,Scaffold_09,synscreen,50
C/12=N/N(CC(O)CC)C(c3ccc(cc3)[N+]([O-])=O)C1N4CC[C@H]2CC4,mol_174,None,-0.31,Scaffold_09,synscreen,0
C/12=N/N(CCN3CCOCC3)C(c4ccc(Cl)cc4)C1CCc5ccccc25,mol_175,None,-0.90,Scaffold_09,divscreen,0
C/12=N/N(CCO)C(c3ccccc3O)C1C(=O)c4ccccc24,mol_176,None,34.48,Scaffold_09,synscreen,50
C/12=N/N(CCOC(=O)C3CC3)C(c4ccc(cc4)OC)C1CCc5ccccc25,mol_177,None,0.40,Scaffold_09,divscreen,0
C/12=N/N(\C3=N\CCN3)C(c4ccccc4O)C1C(=O)c5ccccc25,mol_178,None,23.93,Scaffold_09,synscreen,0
C/12=N/N(c3ccc(Cl)cc3)C(c4cccnc4)C1N5CCC2CC5,mol_179,None,-16.30,Scaffold_09,synscreen,0
C/12=N/N(c3ccc(F)cc3F)C(c4ccc[o]4)C1N5CCC2CC5,mol_180,None,-18.64,Scaffold_09,synscreen,0
C/12=N/N(c3nc(C4CC4)nc(N)n3)C(c5ccccc5O)C1C(=O)c6ccccc26,mol_181,None,32.28,Scaffold_09,synscreen,50
C/12=N/NC(/c3ccc(cc3)N(C)C)=N\C1(C(=O)N(C)C(=O)N2C)c4c[nH]c5ccccc45,mol_182,None,-3.50,Scaffold_00,divscreen,0
C/12=N/NC(/c3ccccc3OC)=N\C1(C(=O)N(C)C(=O)N2C)c4c[nH]c5ccccc45,mol_183,None,15.60,Scaffold_00,divscreen,0
C/12=N/OC(=O)NC\1=N\OC(N2)=O,mol_184,None,21.70,Scaffold_00,divscreen,0
C/12=N/[C@H](CN1CCS2)c3ccccc3,mol_185,None,14.50,Scaffold_00,divscreen,0
C/12=N/c3c(C(=O)N1CC(O)CS2)c4c([s]3)COC(C)(C)C4,mol_186,None,40.90,Scaffold_00,divscreen,50
C/12=N/c3c(c4c([s]3)COC(C)(C)C4)C(=O)N1CC(C)N2CCO,mol_187,None,26.50,Scaffold_00,divscreen,0
C/12=N/c3cccc(Cl)c3CN1[C@H](C)C(N2)=O,mol_188,None,17.60,Scaffold_00,divscreen,0
C/12=N\C(=O)\C(Cc3ccc(cc3)OC)=N/N2C(=O)c4ccccc4N1C,mol_189,None,27.20,Scaffold_00,divscreen,0
C/12=N\C(=S)NC(=S)N2CCN1,mol_190,None,17.10,Scaffold_00,divscreen,0
