Chemical name,Crystal structure CSD refcode,LogS exp (mol/L),Reference,Test,SMILES,Smiles Source,Chemspider reference number,InChl
Cimetidine,CIMETD,-1.69,3,FALSE,Cc1c(nc[nH]1)CSCCN\C(=N\C)NC#N,ChemSpider,25315,"InChI=1S/C12H15Cl2NO5S/c1-21(19,20)8-4-2-7(3-5-8)10(17)9(6-16)15-12(18)11(13)14/h2-5,9-11,16-17H,6H2,1H3,(H,15,18)/t9-,10-/m1/s1"
Diuron,CLPHUR02,-3.76,8,FALSE,Clc1ccc(NC(=O)N(C)C)cc1Cl,ChemSpider,2162,"InChI=1S/C14H22N2O3/c1-10(2)16-8-12(17)9-19-13-5-3-11(4-6-13)7-14(15)18/h3-6,10,12,16-17H,7-9H2,1-2H3,(H2,15,18)"
Chlorprothixene,CMAPTX,-6.75,3,FALSE,Clc2cc1C(\c3c(Sc1cc2)cccc3)=C/CCN(C)C,ChemSpider,2606,"InChI=1S/C2H3Cl3O2/c3-2(4,5)1(6)7/h1,6-7H"
Cocaine,COCAIN10,-2.25,8,FALSE,CN1[C@H]2CC[C@@H]1[C@H]([C@H](C2)OC(=O)c3ccccc3)C(=O)OC,Solubility Challenge,2654,"InChI=1S/C10H16N6S/c1-8-9(16-7-15-8)5-17-4-3-13-10(12-2)14-6-11/h7H,3-5H2,1-2H3,(H,15,16)(H2,12,13,14)"
Naproxen,COYRUD11,-4.50,3,FALSE,C[C@@H](c1ccc2cc(ccc2c1)OC)C(=O)O,ChemSpider,5744,"InChI=1S/C11H12Cl2N2O5/c12-10(13)11(18)14-8(5-16)9(17)6-1-3-7(4-2-6)15(19)20/h1-4,8-10,16-17H,5H2,(H,14,18)/t8-,9-/m1/s1"
Sertraline,CUTPEN,-4.83,3,FALSE,Clc1ccc(cc1Cl)[C@H]3c2c(cccc2)[C@@H](NC)CC3,ChemSpider,3008,"InChI=1S/C9H10Cl2N2O/c1-13(2)9(14)12-6-3-4-7(10)8(11)5-6/h3-5H,1-2H3,(H,12,14)"
Cytosine,CYTSIN01,-1.16,2,FALSE,c1cnc(=O)[nH]c1N,ChemSpider,580849,"InChI=1S/C18H18ClNS/c1-20(2)11-5-7-14-15-6-3-4-8-17(15)21-18-10-9-13(19)12-16(14)18/h3-4,6-10,12H,5,11H2,1-2H3/b14-7-"
"1,8-Dihydroxyanthraquinone",DHANQU06,-5.19,2,FALSE,c1cc2c(c(c1)O)C(=O)c3c(cccc3O)C2=O,ChemSpider,10194104,"InChI=1S/C17H21NO4/c1-18-12-8-9-13(18)15(17(20)21-2)14(10-12)22-16(19)11-6-4-3-5-7-11/h3-7,12-15H,8-10H2,1-2H3/t12-,13+,14-,15+/m0/s1"
Cortisone,DHPRTO02,-3.27,2,FALSE,O=C(CO)[C@@]3(O)CC[C@H]2[C@@H]4CC\C1=C\C(=O)CC[C@]1(C)[C@H]4C(=O)C[C@@]23C,ChemSpider,5550,"InChI=1S/C21H30O4/c1-20-8-7-13(23)9-12(20)3-4-14-15-5-6-16(18(25)11-22)21(15,2)10-17(24)19(14)20/h9,14-17,19,22,24H,3-8,10-11H2,1-2H3/t14-,15-,16+,17-,19+,20-,21-/m0/s1"
Diazepam,DIZPAM10,-3.75,8,FALSE,CN1c2ccc(cc2C(=NCC1=O)c3ccccc3)Cl,ChemSpider,137720,"InChI=1S/C14H14O3/c1-9(14(15)16)10-3-4-12-8-13(17-2)6-5-11(12)7-10/h3-9H,1-2H3,(H,15,16)/t9-/m0/s1"
Sulindac,DOHREX,-4.50,3,FALSE,O=S(c1ccc(cc1)\C=C3/c2ccc(F)cc2\C(=C3C)CC(=O)O)C,ChemSpider,61881,"InChI=1S/C17H17Cl2N/c1-20-17-9-7-12(13-4-2-3-5-14(13)17)11-6-8-15(18)16(19)10-11/h2-6,8,10,12,17,20H,7,9H2,1H3/t12-,17-/m0/s1"
Hydroflumethiazide,EWUHAF01,-2.97,3,FALSE,FC(F)(F)c2c(cc1c(NCNS1(=O)=O)c2)S(=O)(=O)N,ChemSpider,577,"InChI=1S/C4H5N3O/c5-3-1-2-6-4(8)7-3/h1-2H,(H3,5,6,7,8)"
Flurbiprofen,FLUBIP,-4.15,3,FALSE,Fc2cc(ccc2c1ccccc1)C(C(=O)O)C,ChemSpider,2849,"InChI=1S/C12H12N2O2S/c13-9-1-5-11(6-2-9)17(15,16)12-7-3-10(14)4-8-12/h1-8H,13-14H2"
Famotidine,FOGVIG02,-2.65,3,FALSE,O=S(=O)(N=C(N)CCSCc1nc(/N=C(/N)N)sc1)N,ChemSpider,2845,"InChI=1S/C14H8O4/c15-9-5-1-3-7-11(9)14(18)12-8(13(7)17)4-2-6-10(12)16/h1-6,15-16H"
Flufenamic acid,FPAMCA,-5.35,3,FALSE,FC(F)(F)c1cc(ccc1)Nc2ccccc2C(=O)O,ChemSpider,193441,"InChI=1S/C21H28O5/c1-19-7-5-13(23)9-12(19)3-4-14-15-6-8-21(26,17(25)11-22)20(15,2)10-16(24)18(14)19/h9,14-15,18,22,26H,3-8,10-11H2,1-2H3/t14-,15-,18+,19-,20-,21-/m0/s1"
Equilin,GODTIC,-5.28,2,FALSE,O=C3CC[C@H]4C/2=C/Cc1c(ccc(O)c1)[C@H]\2CC[C@]34C,ChemSpider,2908,"InChI=1S/C16H13ClN2O/c1-19-14-8-7-12(17)9-13(14)16(18-10-15(19)20)11-5-3-2-4-6-11/h2-9H,10H2,1H3"
Hydrochlorothiazide,HCSBTZ04,-2.68,1,FALSE,O=S(=O)(c1c(Cl)cc2c(c1)S(=O)(=O)NCN2)N,ChemSpider,1265915,"InChI=1S/C20H17FO3S/c1-12-17(9-13-3-6-15(7-4-13)25(2)24)16-8-5-14(21)10-19(16)18(12)11-20(22)23/h3-10H,11H2,1-2H3,(H,22,23)/b17-9-"
Paracetamol,HXACAN04,-1.06,3,FALSE,CC(=O)Nc1ccc(cc1)O,ChemSpider,4740,"InChI=1S/C12H14N2O2/c1-2-12(9-6-4-3-5-7-9)10(15)13-8-14-11(12)16/h3-7H,2,8H2,1H3,(H,13,15)(H,14,16)"
Ibuprofen,IBPRAC01,-3.59,3,FALSE,CC(C)Cc1ccc(cc1)C(C)C(=O)O,ChemSpider,5660,"InChI=1S/C18H22O2/c1-18-9-8-14-13-5-3-12(19)10-11(13)2-4-15(14)16(18)6-7-17(18)20/h3,5,10,14-16,19H,2,4,6-9H2,1H3/t14-,15-,16+,18+/m1/s1"
Propranolol,IMITON,-3.49,3,FALSE,CC(C)NCC(COc1cccc2c1cccc2)O,ChemSpider,3521,"InChI=1S/C8H8F3N3O4S2/c9-8(10,11)4-1-5-7(2-6(4)19(12,15)16)20(17,18)14-3-13-5/h1-2,13-14H,3H2,(H2,12,15,16)"
Thymol,IPMEPL,-2.19,3,FALSE,CC(C)c1ccc(C)cc1O,ChemSpider,28714,"InChI=1S/C11H11ClO3/c1-2-5-15-10-4-3-8(6-9(10)12)7-11(13)14/h2-4,6H,1,5,7H2,(H,13,14)"
Pentoxifylline,JAKGEH,-0.56,2,FALSE,O=C2N(c1ncn(c1C(=O)N2CCCCC(=O)C)C)C,ChemSpider,3277,"InChI=1S/C15H13FO2/c1-10(15(17)18)12-7-8-13(14(16)9-12)11-5-3-2-4-6-11/h2-10H,1H3,(H,17,18)"
Isoproturon,JODTUR01,-3.47,2,FALSE,O=C(Nc1ccc(cc1)C(C)C)N(C)C,ChemSpider,3208,"InChI=1S/C8H15N7O2S3/c9-6(15-20(12,16)17)1-2-18-3-5-4-19-8(13-5)14-7(10)11/h4H,1-3H2,(H2,9,15)(H2,12,16,17)(H4,10,11,13,14)"
Guanine,KEMDOW,-4.43,3,FALSE,c1[nH]c2c(n1)c(=O)[nH]c(n2)N,ChemSpider,3254,"InChI=1S/C14H10F3NO2/c15-14(16,17)9-4-3-5-10(8-9)18-12-7-2-1-6-11(12)13(19)20/h1-8,18H,(H,19,20)"
Nitrofurantoin,LABJON01,-3.24,3,FALSE,O=[N+]([O-])c2oc(/C=N/N1C(=O)NC(=O)C1)cc2,ChemSpider,3268,"InChI=1S/C4H3FN2O2/c5-2-1-6-4(9)7-3(2)8/h1H,(H2,6,7,8,9)"
L-DOPA (Levodopa),LDOPAS03,-1.82,2,FALSE,O=C(O)[C@@H](N)Cc1cc(O)c(O)cc1,ChemSpider,193995,"InChI=1S/C18H20O2/c1-18-9-8-14-13-5-3-12(19)10-11(13)2-4-15(14)16(18)6-7-17(18)20/h3-5,10,14,16,19H,2,6-9H2,1H3/t14-,16+,18+/m1/s1"
Indoprofen,LEKMET,-4.82,8,FALSE,O=C(O)C(c1ccc(cc1)N3C(=O)c2ccccc2C3)C,Wikipedia,389934,"InChI=1S/C17H17ClO6/c1-8-5-9(19)6-12(23-4)17(8)16(20)13-10(21-2)7-11(22-3)14(18)15(13)24-17/h6-8H,5H2,1-4H3/t8-,17+/m1/s1"
Metoclopramide,METPRA,-3.57,3,FALSE,Clc1cc(c(OC)cc1N)C(=O)NCCN(CC)CC,ChemSpider,3513,"InChI=1S/C7H8ClN3O4S2/c8-4-1-5-7(2-6(4)16(9,12)13)17(14,15)11-3-10-5/h1-2,10-11H,3H2,(H2,9,12,13)"
Metronidazole,MNIMET,-1.22,3,FALSE,[O-][N+](=O)c1cnc(n1CCO)C,ChemSpider,15702,"InChI=1S/C10H11F3N2O/c1-15(2)9(16)14-8-5-3-4-7(6-8)10(11,12)13/h3-6H,1-2H3,(H,14,16)"
Papaverine,MVERIQ01,-3.87,3,FALSE,COc1ccc(cc1OC)Cc2c3cc(c(cc3ccn2)OC)OC,ChemSpider,1906,"InChI=1S/C8H9NO2/c1-6(10)9-7-2-4-8(11)5-3-7/h2-5,11H,1H3,(H,9,10)"
Nalidixic acid,NALIDX01,-3.61,3,FALSE,O=C\2c1c(nc(cc1)C)N(/C=C/2C(=O)O)CC,ChemSpider,3544,"InChI=1S/C13H18O2/c1-9(2)8-11-4-6-12(7-5-11)10(3)13(14)15/h4-7,9-10H,8H2,1-3H3,(H,14,15)"
1-Naphthol,NAPHOL01,-1.98,3,FALSE,Oc2cccc1ccccc12,ChemSpider,4777,"InChI=1S/C16H21NO2/c1-12(2)17-10-14(18)11-19-16-9-5-7-13-6-3-4-8-15(13)16/h3-9,12,14,17-18H,10-11H2,1-2H3"
Niflumic acid,NIFLUM10,-4.58,3,FALSE,FC(F)(F)c1cc(ccc1)Nc2ncccc2C(=O)O,ChemSpider,21105998,"InChI=1S/C10H14O/c1-7(2)9-5-4-8(3)6-10(9)11/h4-7,11H,1-3H3"
Oxytetracycline,OXYTET,-3.09,3,FALSE,CN(C)[C@@H]3C(\O)=C(\C(N)=O)C(=O)[C@@]4(O)C(/O)=C2/C(=O)c1c(cccc1O)[C@@](C)(O)[C@H]2[C@H](O)[C@@H]34,ChemSpider,3248,"InChI=1S/C13H12F2N6O/c14-10-1-2-11(12(15)3-10)13(22,4-20-8-16-6-18-20)5-21-9-17-7-19-21/h1-3,6-9,22H,4-5H2"
Perylene,PERLEN05,-8.80,2,FALSE,c1cc2cccc3c2c(c1)c4cccc5c4c3ccc5,ChemSpider,4578,"InChI=1S/C13H18N4O3/c1-9(18)6-4-5-7-17-12(19)10-11(14-8-15(10)2)16(3)13(17)20/h8H,4-7H2,1-3H3"
Phenobarbital,PHBARB09,-2.29,3,FALSE,C1(NC(C(c2ccccc2)(C(=O)N1)CC)=O)=O,ChemSpider,33695,"InChI=1S/C12H18N2O/c1-9(2)10-5-7-11(8-6-10)13-12(15)14(3)4/h5-9H,1-4H3,(H,13,15)"
Phthalic acid,PHTHAC01,-1.49,3,FALSE,c1ccc(c(c1)C(=O)O)C(=O)O,ChemSpider,744,"InChI=1S/C5H5N5O/c6-5-9-3-2(4(11)10-5)7-1-8-3/h1H,(H4,6,7,8,9,10,11)"
"5,5-Diphenylhydantoin",PHYDAN01,-3.86,3,FALSE,O=C2NC(=O)NC2(c1ccccc1)c3ccccc3,ChemSpider,3696,"InChI=1S/C14H12O5/c1-7-6-9(15)10-11(16-2)8-4-5-18-12(8)14(17-3)13(10)19-7/h4-6H,1-3H3"
Pindolol,PINDOL,-3.79,3,FALSE,CC(C)NCC(O)COc1cccc2[nH]ccc12,ChemSpider,5036498,"InChI=1S/C8H6N4O5/c13-6-4-11(8(14)10-6)9-3-5-1-2-7(17-5)12(15)16/h1-3H,4H2,(H,10,13,14)/b9-3+"
Progesterone,PROGST12,-4.42,2,FALSE,O=C4\C=C2/[C@]([C@H]1CC[C@@]3([C@@H](C(=O)C)CC[C@H]3[C@@H]1CC2)C)(C)CC4,ChemSpider,5824,"InChI=1S/C9H11NO4/c10-6(9(13)14)3-5-1-2-7(11)8(12)4-5/h1-2,4,6,11-12H,3,10H2,(H,13,14)/t6-/m0/s1"
Phenacetin,PYRAZB21,-2.37,2,FALSE,O=C(Nc1ccc(OCC)cc1)C,ChemSpider,3587,"InChI=1S/C17H15NO3/c1-11(17(20)21)12-6-8-14(9-7-12)18-10-13-4-2-3-5-15(13)16(18)19/h2-9,11H,10H2,1H3,(H,20,21)"
Pyrene,PYRENE07,-6.18,2,FALSE,c1cc2ccc3cccc4c3c2c(c1)cc4,ChemSpider,4024,"InChI=1S/C14H22ClN3O2/c1-4-18(5-2)7-6-17-14(19)10-8-11(15)12(16)9-13(10)20-3/h8-9H,4-7,16H2,1-3H3,(H,17,19)"
Pyrazinamide,PYRZIN,-0.91,2,FALSE,O=C(N)c1nccnc1,ChemSpider,4029,"InChI=1S/C6H9N3O3/c1-5-7-4-6(9(11)12)8(5)2-3-10/h4,10H,2-3H2,1H3"
Salicylic acid,SALIAC,-1.93,1,FALSE,c1ccc(c(c1)C(=O)O)O,ChemSpider,4518,"InChI=1S/C20H21NO4/c1-22-17-6-5-13(10-18(17)23-2)9-16-15-12-20(25-4)19(24-3)11-14(15)7-8-21-16/h5-8,10-12H,9H2,1-4H3"
Glipizide,SAXFED,-5.49,3,FALSE,Cc1cnc(cn1)C(=O)NCCc2ccc(cc2)S(=O)(=O)NC(=O)NC3CCCCC3,ChemSpider,4268,"InChI=1S/C12H12N2O3/c1-3-14-6-9(12(16)17)10(15)8-5-4-7(2)13-11(8)14/h4-6H,3H2,1-2H3,(H,16,17)"
Diclofenac,SIKLIH01,-5.46,3,FALSE,c1ccc(c(c1)CC(=O)O)Nc2c(cccc2Cl)Cl,ChemSpider,6739,"InChI=1S/C10H8O/c11-10-7-3-5-8-4-1-2-6-9(8)10/h1-7,11H"
Sulfamethoxazole,SLFNMB01,-2.70,2,FALSE,O=S(=O)(Nc1noc(c1)C)c2ccc(N)cc2,ChemSpider,10442628,"InChI=1S/C18H19ClN4/c1-22-8-10-23(11-9-22)18-14-4-2-3-5-15(14)20-16-7-6-13(19)12-17(16)21-18/h2-7,12,20H,8-11H2,1H3"
Sulfamethazine,SLFNMD01,-2.73,3,FALSE,O=S(=O)(Nc1nc(cc(n1)C)C)c2ccc(N)cc2,ChemSpider,5994,"InChI=1S/C20H26O2/c1-3-20(22)11-9-18-17-6-4-13-12-14(21)5-7-15(13)16(17)8-10-19(18,20)2/h1,12,15-18,22H,4-11H2,2H3/t15-,16+,17+,18-,19-,20-/m0/s1"
Sulfacetamide,SLFNMG01,-1.52,3,FALSE,O=S(=O)(c1ccc(N)cc1)NC(=O)C,ChemSpider,913,"InChI=1S/C6H5NO2/c8-6(9)5-2-1-3-7-4-5/h1-4H,(H,8,9)"
Sulfadiazine,SULDAZ01,-3.53,2,FALSE,O=S(=O)(Nc1ncccn1)c2ccc(N)cc2,ChemSpider,4333,"InChI=1S/C13H9F3N2O2/c14-13(15,16)8-3-1-4-9(7-8)18-11-10(12(19)20)5-2-6-17-11/h1-7H,(H,17,18)(H,19,20)"
Nadolol,TAYGAC,-1.01,2,FALSE,OC(CNC(C)(C)C)COc1cccc2c1C[C@H](O)[C@H](O)C2,ChemSpider,10482174,"InChI=1S/C22H24N2O9/c1-21(32)7-5-4-6-8(25)9(7)15(26)10-12(21)17(28)13-14(24(2)3)16(27)11(20(23)31)19(30)22(13,33)18(10)29/h4-6,12-14,17,25,27-29,32-33H,1-3H3,(H2,23,31)/t12-,13-,14+,17+,21-,22+/m1/s1"
"1,3,5-trichlorobenzene",TCHLBZ,-4.44,2,FALSE,Clc1cc(Cl)cc(Cl)c1,ChemSpider,8788,InChI=1S/C20H12/c1-5-13-6-2-11-17-18-12-4-8-14-7-3-10-16(20(14)18)15(9-1)19(13)17/h1-12H
Thalidomide,THALID03,-3.70,2,FALSE,c1ccc2c(c1)C(=O)N(C2=O)C3CCC(=O)NC3=O,ChemSpider,4586,"InChI=1S/C21H26ClN3OS/c22-17-6-7-21-19(16-17)25(18-4-1-2-5-20(18)27-21)9-3-8-23-10-12-24(13-11-23)14-15-26/h1-2,4-7,16,26H,3,8-15H2"
Thymine,THYMIN01,-1.50,2,FALSE,Cc1c[nH]c(=O)[nH]c1=O,Solubility Challenge,4599,"InChI=1S/C12H12N2O3/c1-2-12(8-6-4-3-5-7-8)9(15)13-11(17)14-10(12)16/h3-7H,2H2,1H3,(H2,13,14,15,16,17)"
Thebaine,TICTUU,-2.66,2,FALSE,O(c5ccc4c2c5O[C@H]3C(/OC)=C\C=C1\[C@H](N(CC[C@]123)C)C4)C,ChemSpider,992,"InChI=1S/C8H6O4/c9-7(10)5-3-1-2-4-6(5)8(11)12/h1-4H,(H,9,10)(H,11,12)"
Uracil,URACIL,-1.49,8,FALSE,c1c[nH]c(=O)[nH]c1=O,ChemSpider,1710,"InChI=1S/C15H12N2O2/c18-13-15(17-14(19)16-13,11-7-3-1-4-8-11)12-9-5-2-6-10-12/h1-10H,(H2,16,17,18,19)"
Uric acid,URICAC,-3.40,2,FALSE,O=C1\C2=C(/NC(=O)N1)NC(=O)N2,Solubility Challenge,4662,"InChI=1S/C14H20N2O2/c1-10(2)16-8-11(17)9-18-14-5-3-4-13-12(14)6-7-15-13/h3-7,10-11,15-17H,8-9H2,1-2H3"
Atropine,WALPIJ,-2.00,3,FALSE,CN3[C@H]1CC[C@@H]3C[C@@H](C1)OC(=O)C(CO)c2ccccc2,ChemSpider,5773,"InChI=1S/C21H30O2/c1-13(22)17-6-7-18-16-5-4-14-12-15(23)8-10-20(14,2)19(16)9-11-21(17,18)3/h12,16-19H,4-11H2,1-3H3/t16-,17+,18-,19-,20-,21+/m0/s1"
Linuron,WAMXUD,-3.52,2,FALSE,Clc1ccc(NC(=O)N(OC)C)cc1Cl,ChemSpider,1014,InChI=1S/C6H4N4/c1-2-9-6-5(8-1)3-7-4-10-6/h1-4H
Mefenamic acid,XYANAC,-6.74,3,FALSE,O=C(O)c2c(Nc1cccc(c1C)C)cccc2,ChemSpider,4590,"InChI=1S/C10H13NO2/c1-3-13-10-6-4-9(5-7-10)11-8(2)12/h4-7H,3H2,1-2H3,(H,11,12)"
Tolbutamide,ZZZPUS02,-3.46,1,FALSE,O=S(=O)(c1ccc(cc1)C)NC(=O)NCCCC,ChemSpider,29153,InChI=1S/C16H10/c1-3-11-7-9-13-5-2-6-14-10-8-12(4-1)15(11)16(13)14/h1-10H
Codeine,ZZZTSE03,-1.52,6,FALSE,CN1CC[C@]23c4c5ccc(c4O[C@H]2[C@H](C=C[C@H]3[C@H]1C5)O)OC,ChemSpider,1017,"InChI=1S/C5H5N3O/c6-5(9)4-3-7-1-2-8-4/h1-3H,(H2,6,9)"
Strychnine,ZZZUEE04,-3.33,2,FALSE,O=C7N2c1ccccc1[C@@]64[C@@H]2[C@@H]3[C@@H](OC/C=C5\[C@@H]3C[C@@H]6N(CC4)C5)C7,ChemSpider,331,"InChI=1S/C7H6O3/c8-6-4-2-1-3-5(6)7(9)10/h1-4,8H,(H,9,10)"
4-Aminobenzoic acid,AMBNAC04,-1.37,2,TRUE,O=C(O)c1ccc(N)cc1,ChemSpider,4963,"InChI=1S/C7H7NO2/c8-7(10)5-3-1-2-4-6(5)9/h1-4,9H,(H2,8,10)"
4-Aminosalicylic acid,AMSALA01,-1.96,2,TRUE,O=C(O)c1ccc(cc1O)N,Wikipedia,3359,"InChI=1S/C21H27N5O4S/c1-15-13-24-19(14-23-15)20(27)22-12-11-16-7-9-18(10-8-16)31(29,30)26-21(28)25-17-5-3-2-4-6-17/h7-10,13-14,17H,2-6,11-12H2,1H3,(H,22,27)(H2,25,26,28)"
Antipyrine,ANTPYR10,0.48,2,TRUE,O=C2\C=C(/N(N2c1ccccc1)C)C,ChemSpider,2925,"InChI=1S/C14H11Cl2NO2/c15-10-5-3-6-11(16)14(10)17-12-7-2-1-4-9(12)8-13(18)19/h1-7,17H,8H2,(H,18,19)"
Chloramphenicol,CLMPCL02,-2.11,2,TRUE,c1cc(ccc1[C@H]([C@@H](CO)NC(=O)C(Cl)Cl)O)[N+](=O)[O-],ChemSpider,5138,"InChI=1S/C10H11N3O3S/c1-7-6-10(12-16-7)13-17(14,15)9-4-2-8(11)3-5-9/h2-6H,11H2,1H3,(H,12,13)"
Corticosterone,CORTIC,-3.24,8,TRUE,O=C4\C=C2/[C@]([C@H]1[C@@H](O)C[C@@]3([C@@H](C(=O)CO)CC[C@H]3[C@@H]1CC2)C)(C)CC4,ChemSpider,5136,"InChI=1S/C12H14N4O2S/c1-8-7-9(2)15-12(14-8)16-19(17,18)11-5-3-10(13)4-6-11/h3-7H,13H2,1-2H3,(H,14,15,16)"
Dapsone,DAPSUO03,-3.09,2,TRUE,O=S(=O)(c1ccc(N)cc1)c2ccc(N)cc2,ChemSpider,5129,"InChI=1S/C8H10N2O3S/c1-6(11)10-14(12,13)8-4-2-7(9)3-5-8/h2-5H,9H2,1H3,(H,10,11)"
Primidone,EPHPMO,-2.64,2,TRUE,O=C1NCNC(=O)C1(c2ccccc2)CC,ChemSpider,5142,"InChI=1S/C6H8N2O2S/c7-5-1-3-6(4-2-5)11(8,9)10/h1-4H,7H2,(H2,8,9,10)"
Estrone,ESTRON14,-5.32,5,TRUE,O=C4[C@]3(CC[C@@H]2c1ccc(O)cc1CC[C@H]2[C@@H]3CC4)C,ChemSpider,5026,"InChI=1S/C10H10N4O2S/c11-8-2-4-9(5-3-8)17(15,16)14-10-12-6-1-7-13-10/h1-7H,11H2,(H,12,13,14)"
Alclofenac,FICJAC,-3.13,8,TRUE,Clc1cc(ccc1OC\C=C)CC(=O)O,ChemSpider,3356,"InChI=1S/C15H21N3O3S/c1-11-5-7-14(8-6-11)22(20,21)17-15(19)16-18-9-12-3-2-4-13(12)10-18/h5-8,12-13H,2-4,9-10H2,1H3,(H2,16,17,19)"
5-Fluorouracil,FURACL02,-1.03,2,TRUE,c1c(c(=O)[nH]c(=O)[nH]1)F,ChemSpider,35815,"InChI=1S/C17H27NO4/c1-17(2,3)18-9-12(19)10-22-16-6-4-5-11-7-14(20)15(21)8-13(11)16/h4-6,12,14-15,18-21H,7-10H2,1-3H3/t12?,14-,15+/m1/s1"
Griseofulvin,GRISFL,-3.25,2,TRUE,C[C@@H]1CC(=O)C=C([C@]12C(=O)c3c(cc(c(c3O2)Cl)OC)OC)OC,ChemSpider,7662,InChI=1S/C6H3Cl3/c7-4-1-5(8)3-6(9)2-4/h1-3H
Fluometuron,HODHIS,-3.46,2,TRUE,O=C(Nc1cc(ccc1)C(F)(F)F)N(C)C,ChemSpider,5233,"InChI=1S/C13H10N2O4/c16-10-6-5-9(11(17)14-10)15-12(18)7-3-1-2-4-8(7)13(15)19/h1-4,9H,5-6H2,(H,14,16,17)"
Fluconazole,IVUQOF,-1.80,8,TRUE,c1cc(c(cc1F)F)C(Cn2cncn2)(Cn3cncn3)O,ChemSpider,5371,"InChI=1S/C20H31NO/c22-20(18-10-4-1-5-11-18,19-12-6-2-7-13-19)14-17-21-15-8-3-9-16-21/h1,4-5,10-11,19,22H,2-3,6-9,12-17H2"
Khellin,KHELIN,-3.02,2,TRUE,O=C/1c3c(O\C(=C\1)C)c(OC)c2occc2c3OC,ChemSpider,1103,"InChI=1S/C5H6N2O2/c1-3-2-6-5(9)7-4(3)8/h2H,1H3,(H2,6,7,8,9)"
