smiles,bradley
CCC(CC)(CC)CC,-33.0
ClC1=CC=CC=C1C=C,-63.0
CCCCCCCCCS,-20.1
CCCCCCCCC(C)C,-49.0
ClS(Cl)(=O)=O,-54.0
NCC1=CN=CC=C1,-21.1
COC(=O)CCl,-32.0
CC(=O)OCCC1=CC=CC=C1,-31.1
CC(C)C1=CC(=CC=C1)C(C)C,-63.0
CC1=CC=CN=C1,-18.1
CCCCCCCCCCCCCCCC,18.1
C1CC[C@H]2CCCC[C@H]2C1,-43.0
COC(=O)CC(=O)OC,-62.0
CCC1=CC=C2C=CC=CC2=C1,-7.4
CC1CC1,-177.0
[O-][N+](=O)C1=CC(=CC=C1)S(Cl)(=O)=O,60.9
CCC1=CC=C(CC)C=C1,-42.9
CC(F)(F)Cl,-131.0
O=C=S,-139.0
CC1CC=CC1,-161.0
CCC1(C)CCCC1,-144.0
CCC1CC1,-149.0
CCC1(C)CC1,-130.0
CC1CC1(C)C,-138.0
CC=CC=C,-141.0
CNC1=NC2=CC=C(Cl)C=C2C(C2=CC=CC=C2)=[N+]([O-])C1,236.0
CCS,-148.0
CC=C,-185.0
ClC1=C(Cl)C(Cl)=C(C(Cl)=C1Cl)C1=C(Cl)C(Cl)=C(Cl)C(Cl)=C1Cl,306.0
CN1CCN(C)C1=O,8.1
CCCCCCCCCCCCCCCCCCBr,28.1
CC1=CC=CC(I)=C1,-27.1
O=CN1CCCCC1,-30.9
CCC1=C(C)C=CC=C1C,-16.1
CC1=CC=CC(C)=C1I,11.1
CCC(C)(C)C(C)(C)C,-9.9
OCC(F)F,-28.1
[O-][N+](=O)C([N+]([O-])=O)([N+]([O-])=O)[N+]([O-])=O,13.9
CC1=CC(N)=CC(C)=C1,9.9
CC1=C(F)C(F)=C(F)C(F)=C1F,-29.9
CC1=CC=CC=C1C,-25.1
CC(=C)C1=CC=CC=C1,-23.1
CCC1=CC=CC=C1CC,-31.1
CCCCCCCCCCCCCCCCCC,28.1
C1COCCO1,11.9
OC(=O)C(F)(F)F,-15.1
N#CCC1=CC=CC=C1,-23.9
CC1=CC=C(Cl)C(Cl)=C1,-15.1
ClC1=CC(Cl)=CC=C1,-24.9
OCC1=CC=CC=C1,-15.1
C1C=CC2=CC=CC=C12,-1.9
OC1=CC=CC(=C1)C(F)(F)F,-1.9
CN(C)C(=O)N(C)C,-1.1
CC(Br)C(C)(Br)Br,1.9
CC1=CC=CC=C1C1=CC=CC=C1,-0.1
CC(C)(C)C1=CC=CC=C1O,-6.9
OCCC1=CC=CC=N1,-7.9
CCCCCCCCCCCC(=O)OC,5.1
CC1=CC=C(C)C(C)=C1C,-6.1
ICCCCI,5.9
CCC(=O)C1=CC=C(C)C=C1,7.1
CC(C)(C)C1=CC=CC(=N1)C(C)(C)C,2.1
CC#CCO,-2.1
C1COCCN1,-4.9
CCC1=CC=C(N)C=C1,-4.9
CCN,-81.1
CCOC(=O)C(C)C,-88.1
CCCC(=O)OCCC(C)C,-73.1
CC(C)COC(C)=O,-98.9
FC1=CC=C(C=C1)C1=CC=CC=C1,74.1
C#CC1=CC=CC=C1,-44.9
CCCCC(=O)OCC,-91.1
CCCCCOC(=O)CCC,-73.1
CCC(C)C(C)(C)C,-112.0
CCCC(C)(C)C,-124.0
CCCCC(C)C,-118.0
CC(C)(Cl)Cl,-33.9
CCCCSC,-97.9
C1C=CCC=C1,-49.1
CC1(C)CCCC1,-69.9
CCC(Br)CC,-126.0
CCCCCCCCC#N,-34.1
CCCCCCC(Cl)=O,-83.9
CC(C)(C)C1CCCCC1,-41.1
CCCCCCC(C)CC,-84.9
CCCCC(C)=C,-103.0
CCCC(C)(C)C(C)C,-117.0
CCC(C)C(C)(C)CC,-101.0
CC(=C)C#N,-35.9
CC1=CC=C(C(F)=C1)[N+]([O-])=O,53.1
CCC(S)CC,-111.0
CC(C)CC1CCCC1,-115.0
CCCCCCC(C)=C,-77.9
CCC(C)CC(O)CC,-91.1
CC=C(C)C(C)C,-124.0
COC(C)OC,-113.0
[O-][N+](=O)C1=CC=CC=C1C1=CC=CC=C1,37.1
CNC,-92.1
CCCCCCCCCl,-57.9
CCCCCCCCS,-49.1
CC(C)(C)C=C,-115.0
ClCC(Cl)(Cl)Cl,-70.1
CCCCCCCI,-48.1
CC(C)CCO,-117.0
COC(=O)C1=CC=C(I)C=C1,115.0
N#CC=CC#N,96.9
NCC=C,-88.1
ClCC1CO1,-57.1
SCCS,-41.1
CC1=CC(Br)=CC=C1,-39.9
CCCNC(=O)NS(=O)(=O)C1=CC=C(Cl)C=C1,128.0
CC1=CC(C)=C(C)C=C1,-43.9
BrCCCBr,-34.1
CCCCC#N,-96.1
CCOC(=O)C=C,-71.1
CC(C)(C)I,-38.1
CC(C)(C)C#C,-78.1
COCOC,-105.0
CC1=CC(Cl)=CC=C1,-47.9
CCCCCCCC,-56.9
C1CCCC1,-93.9
ClC(Cl)C(Cl)(Cl)Cl,-28.9
C1=CC=C2N=CC=CC2=C1,-14.9
CCC(C)C,-160.0
[O-][N+](=O)C1=CC(=CC(=C1Cl)[N+]([O-])=O)C#N,141.0
OC(=O)CCCC(=O)C1=CC=CC=C1,127.0
NC1=CC=CC=C1,-6.15
N#CC(C1=CC=CC=C1)C1=CC=CC=C1,74.2
CC(F)(F)F,-111.0
CC(C)C1=CC(C)=CC=C1,-63.9
CCCCCCCCCCCCCCCCCCCCCCCCCCCCCCCC,69.8
COC(=O)C(C)C,-84.8
CCCCC(O)CCC,-40.9
CC1(C)CCCCC1,-33.1
CC(C)(C)C(C)(C)C,101.0
CC(C)C=C(C)C,-128.0
CCCCCC(=O)OCCC,-68.8
CCCCCC#N,-80.2
CCCCCSCCCCC,-51.1
CCC1=CC(C)=CC(C)=C1,-84.2
CCCC1=CC=CC=C1C,-60.1
CCC1CCCCC1,-111.0
CCC1=CC(C)=CC=C1C,-53.9
CCCC1CCCC1,-117.0
CCCCC(C)CCC,-113.0
CC(C)CCC(C)(C)C,-106.0
CCC(C)=C(C)C,-118.0
CCCCC(C)CCCC,-87.8
CCC(CC)C(C)(C)C,-99.2
FC1=CC=C(C=C1)C(F)(F)F,-41.9
CC(C)C#C,-89.8
C=CCC1CCCC1,-111.0
ClC(=O)C1=CC(=CC(=C1)C(Cl)=O)C(Cl)=O,36.1
CC(C)C(C(C)C)C(C)C,-81.8
CC(C(C)(C)C)C(C)(C)C,-38.9
CCC#CC(C)C,-117.0
CCC(C)C=CC,-126.0
CC=CCC(C)C,-124.0
CCC1=CC=CC=C1Cl,-82.8
CCC(C)O,-115.0
CCCS,-113.0
CC(C)=CC(C)(C)C,-106.0
CCOC(=O)CC(C)C,-99.2
CCCCCS,-75.8
CCCCCCBr,-84.8
CC#CC,-32.1
CCCCSCCCC,-79.8
CCC1=CC=C(C)C=C1,-62.1
CCC#CC,-109.0
CCCCCCC(C)C,-80.2
ClC=C(Cl)Cl,-84.8
CC(=O)OCC1=CC=CC=C1,-51.1
ICC=C,-99.2
CCOCC,-116.0
CC1=CC(C)=CC(C)=C1,-44.9
CCCCS,-116.0
CCCCCCC=O,-43.1
CC(C)CC(C)(C)C,-107.0
CCCI,-101.0
CCCCCCCCC=C,-66.2
CCCCCC,-95.2
ClC(Cl)(Cl)Br,-5.85
CCCCCCCCCCCCCCCC(C)C,5.85
COCC(O)=O,7.85
CCCCCCCCCCCCC,-5.15
CC(=O)OO,-0.05
CCCCCCCCCCC1CCCCC1,-1.85
ClC1=CC=CC=C1I,0.85
CCCCCCCCCCCCCl,-9.15
CC1=CC(C)=C(C)C(C)=C1,-23.9
BrC1=CN=CC=C1,-27.1
CCCCCCCCCCCl,-31.1
CCCCCCCCCCCCCC(=O)OCC,12.2
BrCC(Br)Br,-29.1
[O-][N+](=O)C1=C(F)C=CC(F)=C1,-11.8
ClC(Cl)=C(Cl)Cl,-22.1
CC(C)C1=CC=C(Cl)C=C1,-12.2
CC(C)OC(=O)CC(C)=O,-27.1
BrC1=CC(I)=CC=C1,-9.15
IC1=CC=CC=C1,-31.1
CCCCCCCCCCI,-16.1
N#CC1=CC=CC=C1,-12.8
CCCCCCCCCC,-29.9
O=C1NS(=O)(=O)C2=CC=CC=C12,229.0
CS(=O)(=O)C1=CC=C(C=C1)C(O)C(CO)NC(=O)C(Cl)Cl,165.0
CCCl,-139.0
CC1=CC=CC=C1S(N)(=O)=O,156.0
CC1=CC=NC(N)=N1,160.0
C[C@H]1CC[C@@H](C)C1,-134.0
CCC(C)C(C)=C,-134.0
CCC(C)(C)C=C,-134.0
NC(=O)C1=CC(Br)=CC=C1,155.0
C[C@H]1[C@H]2CC3=CC=C(O)C=C3[C@]1(C)CCN2CC=C(C)C,146.0
S1C2=CC=CC=C2SC2=CC=CC=C12,159.0
CC(C)C(C)=C,-157.0
C=CCCC=C,-141.0
CCCC(C)=C,-136.0
CCCC(C)C,-154.0
CC=C(C)C,-134.0
ClC1=CC=C(C=C1)C1=CC=C(Cl)C=C1,149.0
CCCCC,-130.0
CCN(CC)CC,-115.0
OC=O,8.16
CCCCC(O)=O,-33.8
CCC=C,-185.0
C=C,-169.0
CC1=NN=C(N)S1,225.0
CCC(C)(O)CC,-23.8
CCOP(=O)(OCC)OCC,-56.2
N1C=CC=C1,-23.4
C1CC2=CC=CC=C2C1,-51.2
CC1CCC(=O)CC1,-40.8
CCCCCC(C)(C)O,-50.2
CC1=CC=C(C)S1,-62.8
CCCC1=CC=C(C)C=C1,-63.8
CCCCS(=O)CCCC,32.8
CCCCCCCCCCl,-39.2
CCCCCCC(C)O,-31.8
CC1CCCC1(C)C,-21.8
CCCCCCOC=O,-62.8
CC(C)C(C)(C)C(C)(C)C,-36.2
CCOC(=O)CC1=CC=CC=C1,-29.2
CC1=CC=CS1,-63.2
CCC1=CC=C(Cl)C=C1,-62.8
OCC(O)CO,18.0
CCCCOC1=CC=CC=C1,-19.2
CC1=CC=CC(=C1)C(C)(C)C,-41.2
CC(Br)CCCBr,-34.2
C1=CC=NC=C1,-41.8
BrC1=CC=CC=C1,-30.8
CC1=CC=CC(C)=C1C,-25.2
CCCCCCCCCCC,-25.8
CC(O)=O,16.8
FC1=C(F)C(F)=C(C#N)C(F)=C1F,2.2
ClCC1=C(Cl)C=C(Cl)C=C1,-2.8
CC(C)(O)C#C,2.8
CC(C)C1=CC(=CC(=C1)C(C)C)C(C)C,-7.2
CC(C)(C)CCC(C)(C)C,-12.8
CCCCC(=O)C1=CC=CC=C1,-9.2
CC1=CC=CC=C1CC1=CC=CC=C1,6.8
NCC1=CC=NC=C1,-7.8
OCCOCCO,-10.2
CCCCCCCCCCC1=CC=CC=C1,-14.2
NC1=CC(Cl)=CC=C1,-10.2
CCCCCCCCCCCC,-9.8
CN,-93.2
FC(F)(F)F,-184.0
CC(C)CCCl,-104.0
CC(C)OC(C)=O,-73.2
CC(C)=C,-140.0
FC1=C(F)C(F)=C(C(F)=C1F)C(F)(F)F,-65.8
CCOC(Cl)=O,-80.8
CC(C)C(C)=C(C)C,-113.0
CC(C)=C=C,-114.0
CCC(CC)CC,-119.0
CCCSSCCC,-85.8
CCCCCCCCCCCCCCCCCCC(O)=O,69.2
NC(=O)C(Cl)Cl,99.2
CC(C)(C)CC=C,-137.0
CCCCCCCC(C)C,-74.8
CCC(C(C)C)C(C)C,-122.0
CCC1CCCC1,-138.0
CC(C)C1=CC=CC=C1Cl,-74.2
CCCCCC(C)CC,-108.0
CC(C)C1CCCC1,-111.0
CC1CCC(C)(C)C1,-142.0
CC1(C)CCC=CC1,-74.2
CCC(C)(C)CC(C)C,-113.0
CC=CC=C,-87.2
FC(Br)(Br)Br,-73.8
CC1=C(C)CCC1,-90.2
FC1(F)OC2=CC=CC(=C2O1)C1=CNC=C1C#N,199.0
CCC(Br)=C,-133.0
CC(C)CC#C,-105.0
CCC=CC(C)C,-142.0
C=CCNCC=C,-88.2
CCC,-188.0
CCCCBr,-112.0
C1CCC1,-90.8
CCCCCCCCCCCCCCCCCCCC(O)=O,75.2
CCCCCI,-85.8
CCCC=C(C)C,-130.0
CCCC#CC,-89.8
CCCC=CCC,-137.0
CN1CCN(CC1)C1=NC2=CC(Cl)=CC=C2NC2=CC=CC=C12,184.0
CCC(Br)CBr,-65.2
BrCC=C,-119.0
CCOC(C)=O,-83.8
COC(C)(C)C,-109.0
CCBr,-119.0
CCO,-114.0
CCC(O)=O,-20.9
CCC=CC,-151.0
C1CC1,-127.0
CCCCCCC,-90.8
CC1=CC=C(CC2=CC=CC=C2)C=C1,4.79
C1CCOC1,-108.0
CCCCCCC=C,-102.0
CC1=CCCCC1,-120.0
CCCCC=C,-140.0
COC(=O)C(C)=C,-47.8
C1=CC=C2C=NC=CC2=C1,26.2
CO,-97.8
CC(Br)CBr,-55.2
OC1=CC(O)=CC(O)=C1,218.0
NCC(O)C1=CC=CC=C1,56.8
OC(=O)C1=CC=CC=N1,137.0
NCCCCNCCCN,23.8
NC1=CC=NC=C1,159.0
COC1=CC(CC(O)=O)=CC=C1O,143.0
CC(=O)NCCCCCC(O)=O,104.0
CCCCCC1=CC2=C(C(O)=C1)C1=C(C=CC(C)=C1)C(C)(C)O2,76.8
CNC(=O)OC1=CC=CC2=C1OC(C)(C)C2,151.0
CC12CCC(CC1)C(C)(C)O2,1.25
CNC(=O)CSP(=S)(OC)OC,51.8
OC(=O)CC1=CC=C(C=C1)C1=CC=CC=C1,161.0
COP(=S)(OC)OC1=CC=C(SC)C(C)=C1,7.25
CC(C)C1=CC=C(C)C2=CC=C(C)C2=C1,31.8
OCC1=CNC2=CC=CC=C12,97.8
OC(=O)CCC1=CNC2=CC=CC=C12,134.0
COP(=S)(OC)OC1=CC=C(C=C1)[N+]([O-])=O,35.8
CC(=O)NBr,104.0
COC1=CC=C(CC2=NC=CC3=C2C=C(OC)C(OC)=C3)C=C1OC,147.0
O=C1C(C(=O)C2=CC=CC=C12)C1=CC=CC=C1,150.0
CC(C)(C)C1=CC=C(C=C1)C(O)CCCN1CCC(CC1)C(O)(C1=CC=CC=C1)C1=CC=CC=C1,147.0
NS(=O)(=O)CC1=NOC2=C1C=CC=C2,162.0
CC1=CC=C(C=C1)N(CC1=NCCN1)C1=CC(O)=CC=C1,175.0
CCC1(C(=O)NC(=O)NC1=O)C1=CCCCC1,173.0
CC1=CC(C)=NN1,107.0
ClC(Cl)C(C1=CC=C(Cl)C=C1)C1=CC=C(Cl)C=C1,109.0
CC[N+]([O-])=O,-89.2
CC(C)(O)C1CCC(C)(O)CC1,158.0
CC1=C(N)C2=C(C=C1)C(=O)C1=CC=CC=C1C2=O,205.0
CC1=CC=CC(C(O)=O)=C1O,165.0
ClC1=C(Cl)C(=O)C(C#N)=C(C#N)C1=O,215.0
OC1=CC=CC=C1C(=O)NC1=CC=CC=C1,137.0
COC1=C(Cl)C=C(Cl)C=C1Cl,61.2
CC(=O)C1=CC=CS1,10.2
OC1=C(C=C(C=C1[N+]([O-])=O)[N+]([O-])=O)[N+]([O-])=O,122.0
NC1=NC(=NC(N)=N1)C1=CC=CC=C1,227.0
CC1=CC=C2OC(=O)C=CC2=C1,76.2
O=C(OC(=O)C1=CC=CC=C1)C1=CC=CC=C1,42.2
CCC(C)=NO,-29.8
NC1=CC=CC(=C1)C(F)(F)F,5.75
ClC(=O)C1=CC(=CC=C1)C(Cl)=O,43.8
OCC1=CN=CC=C1,-6.75
ClC1=CC=CC=C1NC1=NC(Cl)=NC(Cl)=N1,160.0
C=CC#N,-83.8
CC(C)(C)NC(=O)C=C,129.0
CC(C)CC(=O)CC(C)C,-41.8
BrC1CCCCC1,-56.8
OC1=CN=CC=C1,127.0
ClC1=CC=CC=N1,-46.2
CC(C)CCOC=O,-93.2
CCSSCC,-102.0
ClCCOCCOCCCl,-31.8
CC(=O)NNC1=CC=CC=C1,130.0
CC1=CC(=CC(Br)=C1O)C1(OS(=O)(=O)C2=CC=CC=C12)C1=CC(C)=C(O)C(Br)=C1,241.0
C1=CC2=CC=C(N=C2C=C1)C1=NC2=CC=CC=C2C=C1,195.0
OC1=CC=C(Cl)C=C1CC1=CC=CC=C1,48.2
CCC1=CC(O)=CC=C1C([O-])=O,116.0
[O-][N+](=O)C1=C(Cl)C=CC(=C1)C(F)(F)F,-2.75
CCOC1=CC(C=O)=CC=C1O,77.2
[O-][N+](=O)N1CN(CN(C1)[N+]([O-])=O)[N+]([O-])=O,205.0
OC1=CC(O)=C(C=C1)C(=O)C1=CC=C(O)C=C1O,201.0
OC(=O)C1=C2C=CC=CC2=NC(=C1)C1=CC=CC=C1,215.0
OC(=O)CCI,81.8
ClCCCCl,-99.8
CC(C)C(O)C(C)(C)CO,51.8
C1=CC=C2C=NN=CC2=C1,90.8
O1C2=CC=CC=C2OC2=CC=CC=C12,122.0
[O-][N+](=O)C1=CC(=CC=C1F)S(=O)(=O)C1=CC(=C(F)C=C1)[N+]([O-])=O,194.0
FC(F)(F)C1=CC(Cl)=C(Cl)C=C1,-12.2
NC(=O)C1=CN=C(N)C=C1,247.0
CON(C)C(=O)NC1=CC=C(Cl)C(Cl)=C1,93.2
CC(=O)NC1=CC=CC(=C1)C(F)(F)F,105.0
OC(=O)C(F)(F)C(F)(F)C(F)(F)F,-17.8
OC(=O)C1=CC(=CC=C1)C(F)(F)F,105.0
CC1=CC=C(C=C1)S(F)(=O)=O,41.2
CCOCOCC,-66.2
OC(=O)C1=CC=NC2=CC=CC=C12,254.0
O=C1NC(=O)C2=NC=CN=C2N1,348.0
O=CC1=CNC2=CC=CC=C12,197.0
OC(=O)C1=COC=C1,122.0
C1CC2=CC=CC=C2NC2=CC=CC=C12,107.0
O=C1OCC=C1,4.25
NC1=CC=CC=N1,57.8
CC(C)C1=CC=CC=C1C,-71.8
[O-][N+](=O)C1=CC=CC=C1[N+]([O-])=O,118.0
C(SCC1=CC=CC=C1)C1=CC=CC=C1,49.2
CCCCCCCCCCCCCC(=O)CCCCCCCCCCCCC,77.8
C1C=CC=CC=C1,-79.8
O=C1C=CC2=CC=CC3=C2C1=CC=C3,154.0
CC(C)C=C,-168.0
COC1=CC=C(C(O)=O)C(OC)=C1OC,101.0
BrC1=CC2=CC=CC=C2C2=C1C=CC=C2,64.2
BrCCN1C(=O)C2=CC=CC=C2C1=O,82.2
CCCC(=O)CC,-55.2
CC(C)(C)N=C=S,10.2
CC1CCC=CC1,-115.0
CCCCOC=O,-91.8
CCCCCCCCCCCCCCCCCCCCCCCCCCC,59.2
CCC(O)(CC)CC,-12.8
COC(=O)C(Cl)(Cl)Cl,-17.8
[O-][N+](=O)C1=CC=C2CCC3=CC=CC1=C23,103.0
CC(=O)OC1=CC=CC=C1[N+]([O-])=O,40.2
CCOC(=O)C1=CC=CO1,34.2
CC1=CC(=O)OC1=O,7.75
CC(=O)N[C@@H](CS)C(O)=O,110.0
CCC1=CC=C(C=C1)C(O)=O,113.0
CN(C)C1=CC=C(C=C1)C(O)=O,243.0
OC(COC1=CC=CC=C1)COC1=CC=CC=C1,81.8
CC1=CC=C(C=C1)N=C=S,25.2
CCOC1=CC=C(O)C=C1,66.2
CCCCOC,-115.0
CCCOCC,-127.0
CCCCCCCCl,-69.8
CCCCCCCCCCCCCCCCCCCCCCCCCCCCCCCCCCCC,76.2
CC[Si](CC)(CC)CC,-82.2
CC(=O)OC1=CC=CC=C1OC(C)=O,64.2
CC1=CC(C)=C(C)C(O)=C1,93.8
[O-][N+](=O)C1=CC=C(O1)C=O,35.8
CC1=CC(C)=C(C)C(C)=C1C,54.2
C1CC2=CC=CC=C2C2=CC=CC=C12,34.2
O=P(C1=CC=CC=C1)(C1=CC=CC=C1)C1=CC=CC=C1,156.0
OC(=O)C12CC3CC(CC(C3)C1)C2,175.0
CC(=O)OC1=CC=CC2=C1C=CC=C2,44.8
CCCCCC(=O)CCCCC,14.8
CCC1=CC=CC(C)=C1C,-49.8
NNC(=O)C1=CC=CC=C1O,148.0
CC(OC1=CC=CC=C1)C(O)=O,118.0
N1C2=C(C=C1C1=CC=CC=C1)C=CC=C2,190.0
CC(C)(C)CC(O)=O,6.25
CC(C)(C)CC(C)(C)C,-66.8
NC1=CC=C(C=C1)C(=O)C1=CC=CC=C1,123.0
CCCCCCCCCCCCOC(=O)C1=CC(O)=C(O)C(O)=C1,96.8
ClC1C2=CC=CC=C2CCC2=CC=CC=C12,107.0
CC(C)(C)C1=CC(=CC(=C1O)C(C)(C)C)C(O)=O,208.0
CSC(C)C,-102.0
CC1=CC=C(N)N=C1,76.2
CC[Si](Cl)(Cl)CC,-96.8
OCC1=C(Cl)C=C(Cl)C=C1,59.2
CCCCCCCCOC1=CC=C(C(=O)C2=CC=CC=C2)C(O)=C1,48.2
BrC1C2=CC=CC=C2C2=CC=CC=C12,103.0
CC(C)C1=CC=C2C=CC=CC2=C1,14.2
BrC1=CC=CC=C1C=C,-52.8
O=CC1CCCCC1,34.8
CN1C(=O)C(=O)C2=CC=CC=C12,131.0
CC(=O)C1=CC=CC(Br)=C1,7.75
CN(C)C(=O)NC1=CC(=CC=C1)C(F)(F)F,164.0
ClC1=NC(Cl)=C(Cl)C(Cl)=C1Cl,125.0
ClC1=CC(Cl)=C(Cl)N=C1Cl,90.8
CC1=CC=C(O)C(=C1)C(C)(C)C,51.8
ClC1=CC=CC=C1C=C(C#N)C#N,95.2
COC(=O)C1=CC(Cl)=CC=C1Cl,38.8
BrC1=CSC=C1Br,4.75
ClC1=CC=C(Cl)S1,-40.8
CCCCCCCCCCCCCCCCCCC=C,28.8
CCC(C)CC=C,-141.0
CCOC(=O)C(C)(C)C,-89.8
CCC(CC)C=C,-127.0
CCCCCCCCCCCCCCCC=C,11.2
CCCCCCCCCCCCCCCCCCCCCCCCCCCCCCCCCCCCCCCCCCCC,87.8
CC1=CC(N)=CC=C1Cl,83.8
Cl[SiH](Cl)Cl,-127.0
CCOC(=O)C1=CC=C(C=C1)N(C)C,63.8
CN1N=NC2=C1C=CC=C2,64.8
ClC1=CN=C(Cl)C=C1,60.8
COC1=CC(Cl)=CC=C1O,16.8
CCC1=CC(C)=C(C)C=C1C,-13.8
OC(=O)CC1=C(N=C(S1)C1=CC=CC=C1)C1=CC=C(Cl)C=C1,161.0
COC1=CC(CCC(C)=O)=CC=C1O,40.8
C(OC1=CC=CC=C1)C1CO1,3.75
CCCCOC1=CC=C(O)C=C1,65.2
CC1(C)CC(=O)CC(=O)C1,148.0
O=S(=O)(C1=CC=CC=C1)C1=CC=CC=C1,128.0
BrCC(Br)(Br)CBr,10.8
CCC(C)(C)C(=O)O[C@H]1C[C@@H](C)C=C2C=C[C@H](C)[C@H](CC[C@@H]3C[C@@H](O)CC(=O)O3)[C@@H]12,136.0
CC(C)C1(C)N=C(NC1=O)C1=NC=CC=C1C(O)=O,171.0
OC(=O)CCC=C,-22.2
CCCCCCCCCCCCCC(C)=O,39.2
OC1=CC=C(C=C)C=C1,73.2
CC=CC,-105.0
O=C1NC=NC2=CC=CC=C12,218.0
CC(=O)NC12CC3CC(CC(C3)C1)C2,148.0
CN(C)C1=CC=CC2=C1C=CC=C2S(N)(=O)=O,220.0
COCCOC1=C(OC)C=C(CC2=CN=C(N)N=C2N)C=C1OC,154.0
NC1=NC(Cl)=CC(Cl)=N1,220.0
CC1=CC=C(CN)C=C1,12.2
C1=CC=C(C=C1)[Si](C1=CC=CC=C1)(C1=CC=CC=C1)C1=CC=CC=C1,237.0
O=CC1=CC=C(OC2=CC=CC=C2)C=C1,24.8
CC1=CC(C=O)=C(C)N1C1=CC=CC=C1,88.8
CC1=CC=C(C)N1C1=CC=CC=C1,49.8
OC1=C(Cl)C(=O)C(O)=C(Cl)C1=O,283.0
CCCCCCCCCC(Cl)=O,-34.8
ClC1=NN=C(Cl)C=C1,67.8
FC1=C(F)C2=C(C(F)=C1F)C(F)=C(F)C(F)=C2F,87.2
[O-][N+](=O)C1=C(F)C=C(F)C=C1F,3.75
NC(=O)C(F)(F)F,72.8
FC(F)(F)C1=CC=C(C=O)C=C1,1.75
NC1=CC=CC=C1NC1=CC=CC=C1,79.2
ClC1=CC=C(C=C1)C(=O)CBr,96.2
COC(=O)C1=CC=CC=C1OC(C)=O,51.8
C1=CC=C(N=C1)C1=CC=NC=C1,61.2
COC1=CC=C(C=C1)C(=O)C1=CC=CC=C1,61.8
CCOC(=O)C1=CC=CN=C1,8.75
COC(=O)C1=CC=CC(I)=C1,54.2
IC1=CC=C(I)S1,41.2
FC(F)(F)C1=CC(=CC=C1)C(=O)C1=CC=CC=C1,52.2
CCOC(=O)C#CC(=O)OCC,1.75
CCCCCCCCC(Cl)=O,-60.8
NC1=C(C=C(Br)C=C1)[N+]([O-])=O,112.0
OC(=O)CCCCC=C,-6.25
NC(=O)C1=CC=C(F)C=C1,156.0
CCOC(=O)C1=CC2=C(N1)C=CC=C2,124.0
ClC1=CC(CC#N)=CC=C1,11.8
BrC1=CN=CC2=CC=CC=C12,41.2
